Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,0.0
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,101.53000000000002
vehicle,1,11,0.0,0.0,102.51
vehicle,1,12,0.0,0.0,105.445
vehicle,1,13,0.0,0.0,110.44
vehicle,1,14,0.0,0.0,116.99000000000004
vehicle,1,15,0.0,0.0,124.25500000000004
vehicle,1,16,0.0,0.0,132.66000000000003
vehicle,1,17,0.0,0.0,139.15499999999997
vehicle,1,18,0.0,0.0,142.125
vehicle,1,19,0.0,0.0,142.305
vehicle,1,20,0.0,0.0,136.47
vehicle,1,21,0.0,0.0,128.125
vehicle,1,22,0.0,0.0,118.22000000000006
vehicle,1,23,0.0,0.0,109.75500000000004
vehicle,1,24,0.0,0.0,104.235
