Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,9.030000000000012,0.0,39.37675
vehicle,1,2,6.02,0.0,38.42475000000001
vehicle,1,3,10.019000000013156,0.0,38.28475
vehicle,1,4,6.02,0.0,39.280499999999996
vehicle,1,5,0.0,0.0,42.03850000000001
vehicle,1,6,8.342000000003377,0.0,45.35475
vehicle,1,7,9.030000000000053,0.0,0.0
vehicle,1,8,0.0,0.0,47.79250000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,49.84350000000002
vehicle,1,11,0.0,0.0,51.058
vehicle,1,12,0.0,0.0,51.728249999999996
vehicle,1,13,0.0,0.0,53.935
vehicle,1,14,0.0,0.0,56.35175
vehicle,1,15,0.0,0.0,58.55675
vehicle,1,16,0.0,0.0,59.98825
vehicle,1,17,117.26100000001291,0.0,60.364876585884396
vehicle,1,18,820.6355274134615,0.0,59.755500000000005
vehicle,1,19,830.6740000000024,0.0,59.23574999999998
vehicle,1,20,90.4289999999997,0.0,58.25575
vehicle,1,21,54.18,0.0,56.91349999999999
vehicle,1,22,54.18,0.0,51.17875
vehicle,1,23,0.0,0.0,44.16485499999999
vehicle,1,24,0.0,0.0,41.856605
