DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
182805.57650623372,168143.59247451078,0.0,13787.834406372087,-874.1496253508376
185175.4496114853,117762.61917265524,0.0,13972.47075,-53440.35968883007
328716.1900841341,283288.70028219966,0.0,15817.494,-29609.99580193445
323126.88124299736,312064.8229913906,0.0,16004.276054544605,4942.217802937841
377399.68379545957,343040.7273743482,0.0,15721.881000000005,-18637.075421111367
214200.7358735559,135044.8954000643,0.0,14518.48405454461,-64637.35641894699
177699.35531510718,150244.69880549415,0.0,13418.819054544603,-14035.837455068424
164324.38516095356,89417.74434288777,0.0,11850.27746091669,-63056.363357149094
149241.98090300206,124212.61665315446,0.0,12931.044000000002,-12098.320249847602
125719.76518020796,118226.4290482202,0.0,12635.812039030614,5142.475907042855
187374.58541414124,148725.85335213874,0.0,12897.368054544604,-25751.364007457887
315827.330628869,352780.18657231505,0.0,14025.908054544607,50978.76399799064
322905.3503281475,329907.5250643663,0.0,14954.772,21956.946736218757
302523.9954931008,314433.39199693344,0.0,14118.266054544603,26027.662558377255
197892.76458841184,123432.80823211769,0.0,12694.248000000003,-61765.70835629414
159001.07378445118,90772.50960072319,0.0,13010.285054544604,-55218.279129183386
189682.8511956937,136953.24793948978,0.0,12728.906054544603,-40000.69720165932
175088.5255737388,130692.53572865573,0.0,12678.603000000003,-31717.386845083063
164979.53983124442,135515.14605019806,0.0,12328.071000000002,-17136.322781046358
157013.5437195713,137136.3151017597,0.0,12418.707000000006,-7458.521617811581
194756.44178602032,165067.20131228305,0.0,12099.717000000004,-17589.523473737267
188458.84086275144,143504.06836723932,0.0,12017.166000000001,-32937.606495512126
189647.1248723416,126424.0730421116,0.0,13244.875039030612,-49978.176791199396
284503.808474684,344217.40240668633,0.0,14079.660000000003,73793.25393200235
354917.38503842003,310054.2653443351,0.0,14446.12946091669,-30416.99023316824
208051.8321145751,133470.71754841175,0.0,13448.295000000002,-61132.81956616335
138722.61608700402,68105.30040208576,0.0,12462.324,-58154.99168491826
186254.26851304885,94768.66068172897,0.0,10785.159000000001,-80700.44883131988
122920.1590561988,67101.78117015953,0.0,10030.552039030616,-45787.825847008644
144891.61571408535,79274.09297031122,0.0,10579.514054544605,-55038.00868922952
