Hour,pr_e,pr_fre_u,pr_fre_d
0,31.97089968278697,2.6843548631021843,8.0
1,31.97089968278697,2.6853193650087115,8.0
2,31.97089968278697,2.6836834480486558,8.0
3,31.97089968278697,2.6870914922975584,8.0
4,31.97089968278697,2.7371128645454523,8.0
5,31.97468286457417,2.8054551287410487,8.0
6,31.97468286457417,2.6594677462018343,0.0010123572919188203
7,31.97089968278697,0.002079945380291471,8.0
8,31.97089968278697,0.0023261878746931607,0.0012785900610706126
9,31.97089968278697,0.00186112322224073,8.0
10,31.97089968278697,0.00186112322224073,8.0
11,31.97089968278697,0.00186112322224073,8.0
12,31.97089968278697,0.002079945380291471,8.0
13,31.97089968278697,0.002394243245250835,8.0
14,31.97089968278697,2.5466437961516224,8.0
15,31.97089968278697,2.6595900715582688,8.0
16,31.97468286457417,2.7246550398748832,8.0
17,33.685863398184644,2.8024742502031614,8.0
18,66.21303791145498,4.0636483579482325,8.0
19,66.21303791145498,4.0636483579482325,8.0
20,65.94914582290343,4.0636483579482325,8.0
21,38.01988562992075,3.4411924360615105,8.0
22,34.1770107069992,2.837468286457417,8.0
23,34.1770107069992,3.0577010706999195,8.0
