Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,9.792363000000025,0.0,112.505
vehicle,1,2,39.169452,0.0,109.785
vehicle,1,3,19.584726,0.0,109.385
vehicle,1,4,19.584726,0.0,112.23000000000002
vehicle,1,5,0.0,0.0,120.10999999999999
vehicle,1,6,39.169452,0.0,129.585
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,48.961815000000016,0.0,136.55
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,217.95002220000387,0.0,142.41
vehicle,1,11,85.33344900000002,0.0,145.88
vehicle,1,12,69.24599550000076,0.0,147.79500000000004
vehicle,1,13,0.0,0.0,154.1000000000001
vehicle,1,14,75.54108599999999,0.0,161.005
vehicle,1,15,76.38043140002065,0.0,167.30500000000004
vehicle,1,16,131.497446,0.0,171.395
vehicle,1,17,19.584726,0.0,172.69271530127676
vehicle,1,18,580.6871259000012,0.0,170.7300000000001
vehicle,1,19,58.754178,0.0,169.24499999999998
vehicle,1,20,11704.121443681379,0.0,166.445
vehicle,1,21,0.0,0.0,162.60999999999999
vehicle,1,22,37.91043390000255,0.0,146.225
vehicle,1,23,9.792363,0.0,126.38877088999999
vehicle,1,24,1764.2107702000183,0.0,119.79377089000009
