Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,18.06
vehicle,1,2,0.0,0.0,18.06
vehicle,1,3,0.0,0.0,18.06
vehicle,1,4,0.0,0.0,18.06
vehicle,1,5,0.0,0.0,18.06
vehicle,1,6,0.0,0.0,18.06
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,9.03
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,42.42
vehicle,1,11,0.0,0.0,43.32475
vehicle,1,12,0.0,0.0,44.926
vehicle,1,13,0.0,0.0,47.3165
vehicle,1,14,0.0,0.0,50.256499999999996
vehicle,1,15,0.0,0.0,52.78875000000001
vehicle,1,16,0.0,0.0,25.821187317756365
vehicle,1,17,0.0,0.0,55.91250000000001
vehicle,1,18,0.0,0.0,55.71124999999999
vehicle,1,19,0.0,0.0,54.84850000000003
vehicle,1,20,0.0,0.0,52.59625
vehicle,1,21,0.0,0.0,49.60375
vehicle,1,22,0.0,0.0,46.08625
vehicle,1,23,0.0,0.0,42.96599999999999
vehicle,1,24,0.0,0.0,40.628
