Hour,pr_e,pr_fre_u,pr_fre_d
0,30.86776612014443,2.7008314541483154,12.0
1,30.86776612014443,2.7006803108336865,12.0
2,30.86776612014443,2.7008314541483154,12.0
3,30.86776612014443,2.7027376825255147,12.0
4,30.86776612014443,2.7152639008078343,12.0
5,30.86776612014443,2.7200231321570865,0.0005031074178736212
6,30.752639008078344,2.5429846599080306,0.0005031074178736212
7,26.54995326293332,0.0009785922106222782,12.0
8,26.54995326293332,0.0010654587888237882,0.0005031074178736212
9,26.54995326293332,0.0009962192295314939,12.0
10,26.54995326293332,0.0009962192295314939,12.0
11,26.54995326293332,0.0009962192295314939,12.0
12,26.54995326293332,0.0009962192295314939,12.0
13,26.54995326293332,0.0009962192295314939,12.0
14,26.54995326293332,0.0009962192295314939,12.0
15,26.54995326293332,0.0009962192295314939,12.0
16,30.469030156860526,2.5429846599080306,12.0
17,31.992538256332452,2.689031255521112,12.0
18,59.312187738365,2.8392538256332465,12.0
19,59.312187738365,2.7852353291355563,12.0
20,31.987799466137552,2.7372528726663106,12.0
21,31.987799466137552,2.720177903595196,12.0
22,31.987799466137552,2.7152639008078343,12.0
23,31.987799466137552,2.7027376825255147,12.0
