Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,141.5950000000001
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,143.9
vehicle,1,11,0.0,0.0,145.755
vehicle,1,12,0.0,0.0,148.715
vehicle,1,13,0.0,0.0,153.70000000000002
vehicle,1,14,0.0,0.0,159.51000000000002
vehicle,1,15,0.0,0.0,162.74
vehicle,1,16,0.0,0.0,164.355
vehicle,1,17,0.0,0.0,164.20500000000007
vehicle,1,18,0.0,0.0,163.00000000000003
vehicle,1,19,0.0,0.0,161.72
vehicle,1,20,0.0,0.0,155.13
vehicle,1,21,0.0,0.0,144.765
vehicle,1,22,0.0,0.0,133.385
vehicle,1,23,0.0,0.0,124.4
vehicle,1,24,0.0,0.0,118.79500000000002
