Hour,pr_e,pr_fre_u,pr_fre_d
0,30.67968795,2.707968795,8.0
1,30.66293191,2.703915727,8.0
2,30.66293191,2.700831454,8.0
3,30.66293191,2.691788512,8.0
4,30.66293191,2.699937345,8.0
5,30.66293191,2.702922182,8.0
6,30.66293191,2.837468286457417,8.0
7,30.66293191,2.837468286457417,8.0
8,30.447350300000004,2.6843548630000003,8.0
9,30.265382610000003,2.6617541730000003,8.0
10,30.265382610000003,2.659482394,8.0
11,30.265382610000003,2.294995326,8.0
12,30.265382610000003,2.294995326,8.0
13,30.265382610000003,2.659467746,8.0
14,30.265382610000003,2.837468286457417,8.0
15,31.97468286457417,2.837468286457417,8.0
16,31.97468286457417,2.837468286457417,8.0
17,31.97468286457417,2.837468286457417,8.0
18,31.97468286457417,2.837468286457417,8.0
19,31.97468286457417,2.837468286457417,8.0
20,31.97468286457417,2.837468286457417,8.0
21,31.97468286457417,2.837468286457417,8.0
22,31.97468286457417,2.837468286457417,8.0
23,31.97468286457417,2.837468286457417,8.0
