Hour,pr_e,pr_fre_u,pr_fre_d
0,35.87008997149773,2.6595900715582688,8.0
1,35.87008997149773,2.294995326293332,8.0
2,35.87008997149773,2.294995326293332,8.0
3,35.87008997149773,2.294995326293332,8.0
4,35.87008997149773,2.659482393782324,8.0
5,35.87008997149773,2.6638171251961857,8.0
6,35.87008997149773,2.6917885123843805,8.0
7,35.87008997149773,2.726786822502719,8.0
8,35.87008997149773,2.7268279843030907,8.0
9,35.87008997149773,2.7268279843030907,8.0
10,35.87008997149773,2.727942877453496,8.0
11,35.87008997149773,2.7726193490191693,8.0
12,35.87008997149773,2.772386520102386,8.0
13,35.87008997149773,2.748044726954923,8.0
14,35.87008997149773,2.7861613931061924,8.0
15,35.87008997149773,2.8807300723294,8.0
16,35.87008997149773,3.1435665342036114,8.0
17,65.9486269568999,3.440315258148998,8.0
18,65.94633254168444,3.440315258148998,8.0
19,38.00315258148999,3.438903787563848,8.0
20,35.87008997149773,3.1097487367910834,8.0
21,35.87008997149773,2.804380426787765,8.0
22,35.87008997149773,2.7191489893678,8.0
23,35.87008997149773,2.7008314541483154,8.0
