Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,5940.0,0.0,5585.8628646585075
vehicle,1,2,5940.0,0.0,5748.344510749194
vehicle,1,3,5940.0,0.0,5540.499745164653
vehicle,1,4,5940.0,0.0,5565.491736089852
vehicle,1,5,5915.933777999013,0.0,5535.7803605349245
vehicle,1,6,5742.0,0.0,5384.892793282958
vehicle,1,7,5329.5,0.0,5520.466666666666
vehicle,1,8,5109.3953968569895,0.0,5353.162904957621
vehicle,1,9,5494.5,0.0,5761.164116665177
vehicle,1,10,5247.0,0.0,5441.75126899753
vehicle,1,11,4999.5,0.0,5275.49693264297
vehicle,1,12,4851.000000000001,0.0,5026.640853601045
vehicle,1,13,4686.0,0.0,5031.075709648553
vehicle,1,14,4652.999999999999,0.0,4945.960815329804
vehicle,1,15,4323.0,0.0,4716.379206717051
vehicle,1,16,4207.500000000001,0.0,4617.127302013369
vehicle,1,17,4492.938342281973,0.0,5047.691847874688
vehicle,1,18,4323.0,0.0,4760.2
vehicle,1,19,4801.5,0.0,5256.710657995114
vehicle,1,20,4686.0,0.0,5132.066666666666
vehicle,1,21,5098.499999999999,0.0,5450.016246660075
vehicle,1,22,5390.2256898024825,0.0,5771.25
vehicle,1,23,4764.0864838021425,0.0,6077.9000000000015
vehicle,1,24,4383.962601418945,0.0,6177.5
