Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,36.24899999999821
vehicle,1,2,0.0,0.0,42.64696428241269
vehicle,1,3,0.0,0.0,24.12919193395568
vehicle,1,4,0.0,0.0,30.668113110414737
vehicle,1,5,0.0,0.0,46.17265042482892
vehicle,1,6,0.0,0.0,24.12919193395568
vehicle,1,7,0.0,0.0,30.10000000000001
vehicle,1,8,0.0,0.0,36.55000000000001
vehicle,1,9,0.0,0.0,9.03
vehicle,1,10,0.0,0.0,25.111999999998996
vehicle,1,11,0.0,0.0,21.54919193395568
vehicle,1,12,0.0,0.0,54.94048639618332
vehicle,1,13,0.0,0.0,78.09419193395458
vehicle,1,14,0.0,0.0,154.2716161320886
vehicle,1,15,0.0,0.0,204.22693966554365
vehicle,1,16,0.0,0.0,217.32199999999793
vehicle,1,17,0.0,0.0,192.60068563443366
vehicle,1,18,0.0,0.0,287.92800000000057
vehicle,1,19,0.0,0.0,531.5229999999926
vehicle,1,20,0.0,0.0,344.6872505528008
vehicle,1,21,0.0,0.0,473.2579999999972
vehicle,1,22,0.0,0.0,417.3017983972961
vehicle,1,23,0.0,0.0,583.3457225357821
vehicle,1,24,0.0,0.0,2932.987000000021
