Hour,pr_e,pr_fre_u,pr_fre_d
0,32.9024539,2.746510152,14.0
1,32.9024539,2.727942877,14.0
2,32.9024539,2.725622051,14.0
3,32.9024539,2.720177904,14.0
4,32.9024539,2.72465504,14.0
5,32.9024539,2.727942877,14.0
6,32.9024539,2.77238652,14.0
7,32.9024539,2.699937345,14.0
8,32.9024539,2.666851265,14.0
9,32.9024539,2.666538261,14.0
10,32.9024539,2.663817125,14.0
11,32.9024539,2.663817125,14.0
12,32.9024539,2.663817125,14.0
13,32.9024539,2.6617541730000003,14.0
14,32.9024539,2.663817125,14.0
15,32.9024539,2.666851265,14.0
16,48.58699743,2.702737683,14.0
17,65.96367214,5.180418213,14.0
18,114.94502657,5.180418213,14.0
19,65.96367214,5.180418213,14.0
20,65.94914582,5.180418213,14.0
21,56.27418213,4.370250038,14.0
22,56.27418213,3.1435665339999996,14.0
23,44.23648358,2.880730072,14.0
