Hour,pr_e,pr_fre_u,pr_fre_d
0,30.97252873,2.691788512,8.0
1,30.97252873,2.687091492,8.0
2,30.97252873,2.687091492,8.0
3,30.97252873,2.687467569,8.0
4,30.97252873,2.72465504,8.0
5,31.97468286457417,2.837468286457417,8.0
6,30.868279840000003,2.659467746,0.001012357
7,26.549953260000002,2.294995326,8.0
8,26.549953260000002,0.002108919,8.0
9,26.549953260000002,0.001861123,8.0
10,26.549953260000002,0.001861123,8.0
11,26.549953260000002,0.001861123,8.0
12,26.549953260000002,0.001861123,8.0
13,26.549953260000002,0.002079945,8.0
14,26.549953260000002,0.002079945,8.0
15,26.549953260000002,0.002326188,8.0
16,30.80023132,2.659482394,8.0
17,31.97468286457417,2.837468286457417,8.0
18,65.9687994,2.837468286457417,8.0
19,31.97468286457417,2.837468286457417,8.0
20,31.97468286457417,2.837468286457417,8.0
21,31.97468286457417,2.837468286457417,8.0
22,31.97468286457417,2.837468286457417,8.0
23,31.97468286457417,2.837468286457417,8.0
