netload,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,6568.68,0.0,390.54690060017174
0.0,6568.68,0.0,309.1031920943298
0.0,6568.68,0.0,365.7429268812685
0.0,6568.68,0.0,432.63852565454005
0.0,6550.62,0.0,5349.892633995724
0.0,6376.47,0.0,3881.6701110538665
0.0,6345.51,0.0,5139.851956529222
0.0,5984.31,0.0,4506.87037317087
0.0,6517.94,0.0,4753.477024783272
0.0,6857.64,0.0,4970.620358355586
0.0,6887.31,0.0,5681.414901049878
0.0,6673.17,0.0,6291.150308530419
0.0,6837.387000000046,0.0,7034.947484977851
0.0,6747.56,0.0,6898.176890353377
0.0,6857.21,0.0,7961.485420154498
0.0,6480.96,0.0,7524.449177785329
0.0,6554.49,0.0,7063.543950847362
0.0,6203.18,0.0,6791.937827189381
0.0,6502.03,0.0,7436.204338729955
0.0,6281.87,0.0,5447.866692001498
0.0,6583.3,0.0,6413.534170240672
3.01,6390.999163742361,0.0,6264.447548954237
5.513790823392955,6521.810000000001,0.0,9769.573531864467
30.100000000000005,6508.939000882168,0.0,39518.1953319242
