Hour,pr_e,pr_fre_u,pr_fre_d
0,30.79148989,2.685319365,10.0
1,30.79148989,2.683683448,10.0
2,30.79148989,2.666851265,10.0
3,30.79148989,2.663817125,10.0
4,30.79148989,2.66607497,10.0
5,30.79148989,2.6843548630000003,10.0
6,30.79148989,2.6890312560000003,10.0
7,30.79148989,2.68314355,10.0
8,30.79148989,2.659590072,10.0
9,30.79148989,2.54298466,10.0
10,30.79148989,2.54298466,10.0
11,30.79148989,2.294995326,10.0
12,30.79148989,2.294995326,10.0
13,30.79148989,2.294995326,10.0
14,30.79148989,2.294995326,10.0
15,30.79148989,2.659482394,10.0
16,30.87942877,2.6911499780000003,10.0
17,31.99253826,2.839253826,10.0
18,59.756777189999994,2.839253826,10.0
19,59.756777189999994,2.839253826,10.0
20,31.65455129,2.805455129,10.0
21,31.65455129,2.783119886,10.0
22,31.65455129,2.726008249,10.0
23,31.65455129,2.702737683,10.0
