Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6769.92,0.0,243.90133812006562
vehicle,1,2,6769.92,0.0,265.5848300988149
vehicle,1,3,6769.92,0.0,298.4693517380062
vehicle,1,4,6769.92,0.0,377.23745933737104
vehicle,1,5,6751.86,0.0,4876.772465032536
vehicle,1,6,6625.439999999999,0.0,3823.2491892084445
vehicle,1,7,6696.82,0.0,4534.416964885603
vehicle,1,8,6692.95,0.0,4425.481207025209
vehicle,1,9,7269.15,0.0,4953.264634567959
vehicle,1,10,7399.44,0.0,4972.482763382408
vehicle,1,11,7508.230000000001,0.0,5641.368012948256
vehicle,1,12,7363.32,0.0,6025.6956201634275
vehicle,1,13,7170.250000000001,0.0,6059.571301669509
vehicle,1,14,7252.514510984575,0.0,6591.410057167156
vehicle,1,15,7015.837,0.0,8832.153703571117
vehicle,1,16,6807.760000000001,0.0,8534.191189210087
vehicle,1,17,6986.303796099557,0.0,8101.856247535858
vehicle,1,18,6488.241556300827,0.0,6579.076460391916
vehicle,1,19,6899.173163742362,0.0,8050.616453310835
vehicle,1,20,6511.49,0.0,5504.977402641853
vehicle,1,21,6670.16,0.0,5762.346323584983
vehicle,1,22,6460.390474634663,0.0,5764.810621653699
vehicle,1,23,6600.069999999999,0.0,11413.362804987708
vehicle,1,24,6572.033386467755,0.0,46675.637529342275
