Hour,pr_e,pr_fre_u,pr_fre_d
0,38.01192436,2.691788512,0.000548623
1,38.01192436,2.68473503,0.000548623
2,38.01192436,2.685319365,0.000548623
3,38.01192436,2.699937345,0.000548623
4,38.01192436,2.707968795,0.0005663430000000001
5,38.01192436,2.786161393,0.000578786
6,38.01192436,2.546643796,0.000978592
7,38.01192436,0.00127859,8.0
8,38.01192436,0.001412511,8.0
9,38.01192436,0.001332782,8.0
10,38.01192436,2.294995326,8.0
11,38.01192436,2.659467746,8.0
12,38.01192436,2.6886055730000002,8.0
13,38.01192436,2.726008249,8.0
14,38.01192436,2.805455129,8.0
15,38.01192436,2.837468286457417,8.0
16,38.01192436,2.918034304,8.0
17,38.01192436,3.438903788,8.0
18,65.95531377,3.441192436,8.0
19,59.756777189999994,3.441192436,8.0
20,38.01192436,3.441192436,8.0
21,38.01192436,2.837468286457417,8.0
22,38.01192436,2.837468286457417,8.0
23,38.01192436,2.837468286457417,8.0
