Hour,pr_e,pr_fre_u,pr_fre_d
0,31.99924611,2.666851265,0.0005031069999999999
1,31.99924611,2.663817125,0.0005031069999999999
2,31.99924611,2.666538261,0.0005031069999999999
3,31.99924611,2.6843548630000003,0.0005031069999999999
4,31.99924611,2.719148989,0.000509784
5,31.99924611,2.786161393,0.000548623
6,31.99924611,2.546643796,0.000548623
7,31.99924611,0.001065459,0.001861123
8,31.99924611,0.001332782,0.000576718
9,31.99924611,0.001332782,0.000576718
10,31.99924611,0.001332782,0.000611663
11,31.99924611,0.001504677,0.000978592
12,31.99924611,0.001777094,0.000996219
13,31.99924611,0.001332782,0.002239615
14,31.99924611,2.547173335,0.000996219
15,31.99924611,2.668058799,0.001065459
16,31.99924611,2.746510152,0.000996219
17,59.31218774,2.805455129,0.000978592
18,59.31218774,2.8399246110000003,0.000978592
19,32.68030624,2.837468286457417,0.000777703
20,32.68030624,2.837468286457417,0.000578786
21,32.68030624,2.837468286457417,0.000578786
22,32.68030624,2.837468286457417,0.000576718
23,32.68030624,2.837468286457417,0.000548623
