DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
678781.2554048676,0.0,0.0,0.0,-678781.2554048676
704627.2538841638,0.0,0.0,0.0,-704627.2538841638
958554.7089829214,0.0,0.0,0.0,-958554.7089829214
841247.8770347377,0.0,0.0,0.0,-841247.8770347377
1042019.3873583828,0.0,0.0,0.0,-1042019.3873583828
628251.9944253105,0.0,0.0,0.0,-628251.9944253105
578676.8176384735,0.0,0.0,0.0,-578676.8176384735
567772.6160478996,0.0,0.0,0.0,-567772.6160478996
576079.9986993818,0.0,0.0,0.0,-576079.9986993818
581182.4544115267,0.0,0.0,0.0,-581182.4544115267
613921.1747384664,0.0,0.0,0.0,-613921.1747384664
661568.6822977577,0.0,0.0,0.0,-661568.6822977577
707807.4442923672,0.0,0.0,0.0,-707807.4442923672
649518.7309729592,0.0,0.0,0.0,-649518.7309729592
755697.3057543793,0.0,0.0,0.0,-755697.3057543793
633812.8387184307,0.0,0.0,0.0,-633812.8387184307
586952.0152047198,0.0,0.0,0.0,-586952.0152047198
585984.9659146625,0.0,0.0,0.0,-585984.9659146625
639660.1575889911,0.0,0.0,0.0,-639660.1575889911
598506.7685357708,0.0,0.0,0.0,-598506.7685357708
708113.4209562114,0.0,0.0,0.0,-708113.4209562114
633539.5282808736,0.0,0.0,0.0,-633539.5282808736
679277.7493492842,0.0,0.0,0.0,-679277.7493492842
671955.2984776364,0.0,0.0,0.0,-671955.2984776364
715566.9287416858,0.0,0.0,0.0,-715566.9287416858
604819.0558795078,0.0,0.0,0.0,-604819.0558795078
614123.9163925817,0.0,0.0,0.0,-614123.9163925817
