Hour,pr_e,pr_fre_u,pr_fre_d
0,31.962337650000002,2.703915727,2.547173335
1,31.962337650000002,2.700831454,2.547173335
2,31.962337650000002,2.699937345,2.547173335
3,31.962337650000002,2.703915727,2.547173335
4,31.962337650000002,2.836233765,2.659467746
5,30.801779040000003,2.702681047,2.659467746
6,30.627376830000003,2.68314355,2.659590072
7,30.627376830000003,2.683683448,2.660198172
8,30.627376830000003,2.683683448,2.659482394
9,30.627376830000003,2.6843548630000003,2.659482394
10,30.627376830000003,2.6843548630000003,2.659590072
11,30.627376830000003,2.68473503,2.659590072
12,30.627376830000003,2.685319365,2.660539992
13,30.627376830000003,2.6863489080000003,2.660691992
14,30.627376830000003,2.687091492,2.667638754
15,35.351629700000004,3.17516297,2.661669453
16,35.351629700000004,2.72465504,2.661669453
17,35.351629700000004,2.8043749989999998,2.661669453
18,65.94914582,3.17516297,2.661669453
19,65.95146552,3.17516297,2.661669453
20,34.6655982,3.10655982,2.661340809
21,32.41661412,2.880730072,2.660539992
22,31.32619349,2.7726193489999997,2.659590072
23,30.867766120000002,2.726776612,2.659482394
