Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6830.980000000001,0.22405946081239317,372.26078983235857
vehicle,1,2,6827.97,0.0,365.97720311318443
vehicle,1,3,6833.989999999999,0.0,401.08156769367014
vehicle,1,4,6830.411886889586,0.0,702.4320628221395
vehicle,1,5,6739.82,0.0,5028.254302144833
vehicle,1,6,6737.24,0.0,7370.736400311371
vehicle,1,7,6657.69,0.0,0.0
vehicle,1,8,6355.4,0.0,4604.945956146117
vehicle,1,9,6737.67,0.0,4113.159536324631
vehicle,1,10,6934.180000000001,0.0,4721.731817741988
vehicle,1,11,6976.820187974681,0.0,4844.72611729839
vehicle,1,12,7007.71,0.0,5826.795820955936
vehicle,1,13,6973.8569697186895,0.0,5566.5303018361765
vehicle,1,14,6767.34,0.0,6076.843718313891
vehicle,1,15,6514.932850502835,0.0,7817.7120491548
vehicle,1,16,6395.82,0.0,8313.556303476564
vehicle,1,17,6407.43,0.0,8243.60969611395
vehicle,1,18,6011.4,0.0,6541.8951474999785
vehicle,1,19,6365.29,0.0,5896.015196915055
vehicle,1,20,6154.16,0.0,5253.464343841662
vehicle,1,21,6563.52,0.0,6136.704281940259
vehicle,1,22,6575.085336312826,0.0,6070.990301761623
vehicle,1,23,6761.32,0.0,11696.269503775926
vehicle,1,24,6690.500943303469,0.0,47081.994019069316
