Hour,pr_e,pr_fre_u,pr_fre_d
0,30.80023132,2.707968795,2.659467746
1,30.80023132,2.702922182,2.659467746
2,30.80023132,2.700831454,2.547173335
3,30.80023132,2.702922182,2.659467746
4,30.80023132,2.7200231319999997,2.659467746
5,30.67968795,2.7062931910000003,2.659482394
6,30.470914920000002,2.6843548630000003,2.661340809
7,30.470914920000002,2.68473503,2.660198172
8,30.470914920000002,2.68473503,2.660198172
9,30.470914920000002,2.685313823,2.660198172
10,30.470914920000002,2.685313823,2.660198172
11,30.470914920000002,2.685319365,2.660539992
12,30.470914920000002,2.685319365,2.660691992
13,30.470914920000002,2.686903016,2.660691992
14,30.470914920000002,2.687091492,2.661340809
15,31.967549260000002,2.8367549260000002,2.6617541730000003
16,31.967549260000002,2.700680311,2.661669453
17,31.967549260000002,2.727942877,2.661669453
18,59.756777189999994,2.929380807,2.661669453
19,65.96367214,2.929380807,2.661340809
20,32.89380807,2.929380807,2.660691992
21,31.974319320000003,2.837431932,2.660539992
22,30.97252873,2.737252873,2.659590072
23,30.846550399999998,2.72465504,2.659482394
