DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[0.0],[4914074.668111652],[0.0],[1799286.0301977047],[6713360.698309356]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5052436.8455727175],[0.0],[1828295.9838074995],[6880732.829380217]
[0.0],[4861201.546707314],[7.202436805427213],[1782697.2666953343],[6643906.015839455]
[0.0],[5106306.715368569],[7.202436805427213],[1877331.0182411806],[6983644.936046556]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5282216.73606499],[10.32890392064581],[1933862.008753131],[7216089.073722042]
[0.0],[5214204.194743321],[0.0],[1902044.8284084373],[7116249.023151759]
[0.0],[5151137.757438279],[2.6941193443223868],[1874503.4343951638],[7025643.8859527875]
[0.0],[5106542.878911212],[7.202436805402225],[1869250.105199813],[6975800.186547831]
