Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6300.36,0.6002030671189345,323.3769531725554
vehicle,1,2,6300.36,0.0,339.72350289252785
vehicle,1,3,6300.36,0.0,346.8603134791629
vehicle,1,4,6300.36,0.0,723.1544530952683
vehicle,1,5,6215.22,0.0,4414.334850905244
vehicle,1,6,5988.18,0.0,8287.678533376651
vehicle,1,7,6002.37,0.0,0.0
vehicle,1,8,5406.39,0.0,3950.6634048686337
vehicle,1,9,5931.42,0.0,4046.48500908516
vehicle,1,10,6073.32,0.0,4003.5204698085004
vehicle,1,11,6101.7,0.0,3935.5568243468692
vehicle,1,12,6172.65,0.0,4167.01320573953
vehicle,1,13,5959.8,0.0,5267.6232607584225
vehicle,1,14,5860.47,0.0,5217.166382440508
vehicle,1,15,6087.51,0.0,4921.387508806518
vehicle,1,16,5888.85,0.0,5018.97374859552
vehicle,1,17,5832.09,0.0,5589.77888337904
vehicle,1,18,5576.67,0.0,6425.251559724724
vehicle,1,19,6073.32,0.0,5561.60421247366
vehicle,1,20,6073.32,0.0,5550.16800717046
vehicle,1,21,6371.31,0.0,6531.370854810911
vehicle,1,22,6215.22,0.0,5305.906581400265
vehicle,1,23,6257.79,0.0,10974.051429983609
vehicle,1,24,6280.330847891215,0.0,47856.78130456546
