Hour,pr_e,pr_fre_u,pr_fre_d
0,31.987186710000003,12.0,12.0
1,31.987186710000003,2.6617541730000003,12.0
2,31.987186710000003,2.6617541730000003,12.0
3,31.987186710000003,2.6617541730000003,12.0
4,31.987186710000003,2.6843548630000003,12.0
5,31.987186710000003,2.700680311,12.0
6,31.987186710000003,2.7361192130000003,2.659482394
7,31.987186710000003,2.7062931910000003,12.0
8,31.987186710000003,2.6829038169999997,12.0
9,31.987186710000003,2.660691992,12.0
10,31.987186710000003,2.547173335,12.0
11,31.987186710000003,2.547173335,12.0
12,31.987186710000003,2.547173335,12.0
13,31.987186710000003,2.547173335,12.0
14,31.987186710000003,2.660691992,12.0
15,31.987186710000003,2.667638754,12.0
16,31.987186710000003,2.691788512,12.0
17,32.68030624,2.836727432,12.0
18,59.756777189999994,2.908030624,12.0
19,59.756777189999994,2.908030624,12.0
20,31.65455129,2.805455129,12.0
21,31.6247425,2.7752393389999996,12.0
22,31.6247425,2.726776612,12.0
23,31.6247425,2.702681047,12.0
