,Export(MW)
2019-01-01 00,17348.022500000003
2019-01-01 01,17652.115833333333
2019-01-01 02,18615.73583333333
2019-01-01 03,17226.508333333335
2019-01-01 04,17717.380833333333
2019-01-01 05,17838.359166666665
2019-01-01 06,18533.0175
2019-01-01 07,18607.345833333333
2019-01-01 08,19335.898333333334
2019-01-01 09,21297.645833333332
2019-01-01 10,22370.9375
2019-01-01 11,23065.381666666668
2019-01-01 12,23183.849166666667
2019-01-01 13,22943.065833333327
2019-01-01 14,21251.65083333333
2019-01-01 15,18687.345833333333
2019-01-01 16,20240.655833333338
2019-01-01 17,22454.480833333335
2019-01-01 18,22378.007500000003
2019-01-01 19,22326.76916666667
2019-01-01 20,22917.66
2019-01-01 21,7679.107500000001
2019-01-01 23,16117.461666666664
2019-01-02 00,10485.214166666667
2019-01-02 01,18974.711666666666
2019-01-02 02,20137.009166666667
2019-01-02 03,20959.80833333333
2019-01-02 04,21559.23083333333
2019-01-02 05,21570.745833333334
2019-01-02 06,23304.270000000004
2019-01-02 07,23713.590833333335
2019-01-02 08,22418.930833333332
2019-01-02 09,19992.976666666666
2019-01-02 10,19954.379166666666
2019-01-02 11,19314.027499999997
2019-01-02 12,20573.2275
2019-01-02 13,19871.610833333336
2019-01-02 14,19616.88
2019-01-02 15,21103.404166666667
2019-01-02 16,21060.0175
2019-01-02 17,21987.15416666666
2019-01-02 18,22766.47666666667
2019-01-02 19,22109.798333333336
2019-01-02 20,22394.3575
2019-01-02 21,22051.974166666667
2019-01-02 22,21018.440833333334
2019-01-02 23,19930.962499999998
2019-01-03 00,20271.207499999997
2019-01-03 01,20243.000833333328
2019-01-03 02,19586.703333333335
2019-01-03 03,19974.071666666667
2019-01-03 04,20208.9275
2019-01-03 05,21939.1825
2019-01-03 06,23469.625833333335
2019-01-03 07,23160.623333333333
2019-01-03 08,20529.3625
2019-01-03 09,19366.158333333333
2019-01-03 10,19097.391666666666
2019-01-03 11,18931.715
2019-01-03 12,18607.990833333333
2019-01-03 13,18353.263333333332
2019-01-03 14,18542.127500000002
2019-01-03 15,18790.425000000003
2019-01-03 16,20394.408333333336
2019-01-03 17,21924.398333333334
2019-01-03 18,22081.860833333336
2019-01-03 19,22031.568333333333
2019-01-03 20,22027.655833333334
2019-01-03 21,21191.906666666666
2019-01-03 22,20458.594999999998
2019-01-03 23,19311.747499999998
2019-01-04 00,19363.726666666673
2019-01-04 01,19770.96416666667
2019-01-04 02,19669.253333333334
2019-01-04 03,19299.249166666665
2019-01-04 04,20335.371666666662
2019-01-04 05,21397.469999999998
2019-01-04 06,22315.103333333333
2019-01-04 07,22359.771666666667
2019-01-04 08,20352.087499999998
2019-01-04 09,19730.144166666665
2019-01-04 10,19866.841666666664
2019-01-04 11,19349.015833333335
2019-01-04 12,19640.982500000002
2019-01-04 13,19109.796666666665
2019-01-04 14,19559.506666666668
2019-01-04 15,19454.942499999997
2019-01-04 16,21604.043333333335
2019-01-04 17,22059.355833333335
2019-01-04 18,22853.445833333335
2019-01-04 19,22827.280833333334
2019-01-04 20,22070.240833333333
2019-01-04 21,21621.87583333333
2019-01-04 22,21383.183333333334
2019-01-04 23,20065.591666666664
2019-01-05 00,19276.399166666666
2019-01-05 01,19712.237500000003
2019-01-05 02,19823.791666666668
2019-01-05 03,19423.820833333335
2019-01-05 04,19682.179166666665
2019-01-05 05,20826.44
2019-01-05 06,20556.2025
2019-01-05 07,20236.024166666666
2019-01-05 08,22020.218333333334
2019-01-05 09,22158.282499999998
2019-01-05 10,21909.689166666667
2019-01-05 11,21654.968333333327
2019-01-05 12,21043.824166666665
2019-01-05 13,20971.074166666665
2019-01-05 14,20540.190833333334
2019-01-05 15,20114.645
2019-01-05 16,20824.815000000002
2019-01-05 17,22284.268333333326
2019-01-05 18,22259.13666666667
2019-01-05 19,22814.351666666666
2019-01-05 20,22047.86666666667
2019-01-05 21,19886.260000000002
2019-01-05 22,20355.51666666667
2019-01-05 23,19365.681666666667
2019-01-06 00,20999.153333333335
2019-01-06 01,20646.56
2019-01-06 02,20390.264166666664
2019-01-06 03,19649.684999999998
2019-01-06 04,19806.69583333333
2019-01-06 05,19900.596666666665
2019-01-06 06,20604.028333333332
2019-01-06 07,21309.715833333332
2019-01-06 08,21745.1825
2019-01-06 09,21365.5075
2019-01-06 10,21039.927499999998
2019-01-06 11,21862.790833333333
2019-01-06 12,23054.888333333336
2019-01-06 13,22673.18166666666
2019-01-06 14,22491.450833333332
2019-01-06 15,22720.734166666665
2019-01-06 16,22806.514166666664
2019-01-06 17,22808.99416666667
2019-01-06 18,22975.5775
2019-01-06 19,22178.813333333328
2019-01-06 20,22044.5775
2019-01-06 21,21082.353333333333
2019-01-06 22,20151.9475
2019-01-06 23,19213.161666666663
2019-01-07 00,18186.873333333333
2019-01-07 01,17976.20666666667
2019-01-07 02,18423.43666666667
2019-01-07 03,19470.123333333337
2019-01-07 04,20520.065
2019-01-07 05,22403.635833333334
2019-01-07 06,22361.97333333333
2019-01-07 07,22604.046666666665
2019-01-07 08,22221.482500000002
2019-01-07 09,22030.9375
2019-01-07 10,21154.096666666668
2019-01-07 11,20522.735
2019-01-07 12,19393.463333333333
2019-01-07 13,19759.2375
2019-01-07 14,20167.95333333333
2019-01-07 15,20056.130833333333
2019-01-07 16,21083.00333333333
2019-01-07 17,22469.35666666667
2019-01-07 18,22453.335000000003
2019-01-07 19,23793.045000000002
2019-01-07 20,22428.484166666665
2019-01-07 21,21269.840833333332
2019-01-07 22,21058.68
2019-01-07 23,20265.0325
2019-01-08 00,20448.966666666664
2019-01-08 01,20492.10916666667
2019-01-08 02,20411.19083333333
2019-01-08 03,20610.428333333333
2019-01-08 04,21531.10666666667
2019-01-08 05,22405.385833333334
2019-01-08 06,23065.137499999997
2019-01-08 07,23190.290833333336
2019-01-08 08,21990.3025
2019-01-08 09,21288.20416666667
2019-01-08 10,19442.063333333335
2019-01-08 11,18585.415833333336
2019-01-08 12,18176.73083333333
2019-01-08 13,15685.855833333335
2019-01-08 14,19480.143333333337
2019-01-08 15,19749.5175
2019-01-08 16,20650.744166666667
2019-01-08 17,23139.8175
2019-01-08 18,22810.109166666665
2019-01-08 19,22755.303333333333
2019-01-08 20,22515.53
2019-01-08 21,22158.109166666665
2019-01-08 22,22538.79333333333
2019-01-08 23,20605.11333333333
2019-01-09 00,19616.166666666664
2019-01-09 01,18926.819166666668
2019-01-09 02,18568.674166666668
2019-01-09 03,18914.295833333326
2019-01-09 04,19898.326666666664
2019-01-09 05,20468.059166666666
2019-01-09 06,20128.98833333333
2019-01-09 07,21167.881666666668
2019-01-09 08,19250.780833333334
2019-01-09 09,18779.198333333334
2019-01-09 10,18580.014999999996
2019-01-09 11,18548.34583333333
2019-01-09 12,18615.369166666667
2019-01-09 13,17951.635
2019-01-09 14,19781.903333333332
2019-01-09 15,20615.740833333333
2019-01-09 16,20930.275
2019-01-09 17,21484.33166666666
2019-01-09 18,22471.268333333337
2019-01-09 19,22019.556666666667
2019-01-09 20,21179.415
2019-01-09 21,20624.02166666667
2019-01-09 22,20262.571666666667
2019-01-09 23,18877.78166666667
2019-01-10 00,18938.84916666667
2019-01-10 01,18536.846666666668
2019-01-10 02,18728.80916666667
2019-01-10 03,18772.880833333333
2019-01-10 04,19871.368333333336
2019-01-10 05,21544.084166666667
2019-01-10 06,21832.000833333335
2019-01-10 07,22330.879166666662
2019-01-10 08,22097.852499999997
2019-01-10 09,20956.27916666667
2019-01-10 10,20041.891666666666
2019-01-10 11,20166.624166666665
2019-01-10 12,21029.25416666667
2019-01-10 13,18006.453333333335
2019-01-10 14,20997.5075
2019-01-10 15,19988.74
2019-01-10 16,21530.59
2019-01-10 17,23080.41083333333
2019-01-10 18,23462.664166666666
2019-01-10 19,23055.022500000003
2019-01-10 20,22490.080833333337
2019-01-10 21,21625.729166666664
2019-01-10 22,21042.1425
2019-01-10 23,19074.269166666665
2019-01-11 00,17370.825833333336
2019-01-11 01,17030.196666666667
2019-01-11 02,16414.532499999998
2019-01-11 03,16756.8475
2019-01-11 04,18193.014166666668
2019-01-11 05,19363.916666666668
2019-01-11 06,19995.658333333333
2019-01-11 07,19573.415833333336
2019-01-11 08,19793.99
2019-01-11 09,17785.250833333335
2019-01-11 10,17541.368333333336
2019-01-11 11,16494.07166666667
2019-01-11 12,16876.429166666665
2019-01-11 13,16720.109999999997
2019-01-11 14,17389.125833333335
2019-01-11 15,18021.3875
2019-01-11 16,19074.7925
2019-01-11 17,20208.218333333338
2019-01-11 18,20466.149999999998
2019-01-11 19,19430.388333333336
2019-01-11 20,19352.056666666667
2019-01-11 21,19374.370000000003
2019-01-11 22,18860.37833333333
2019-01-11 23,17308.760833333334
2019-01-12 00,18067.845
2019-01-12 01,17788.721666666665
2019-01-12 02,18531.698333333334
2019-01-12 03,18269.335
2019-01-12 04,18599.531666666666
2019-01-12 05,18070.155000000002
2019-01-12 06,18868.124166666665
2019-01-12 07,18160.91916666667
2019-01-12 08,19293.250833333335
2019-01-12 09,18248.935833333333
2019-01-12 10,17806.389166666664
2019-01-12 11,16894.095833333336
2019-01-12 12,17271.916666666668
2019-01-12 13,16496.296666666665
2019-01-12 14,16098.1
2019-01-12 15,16731.40416666667
2019-01-12 16,17916.881666666664
2019-01-12 17,19723.076666666668
2019-01-12 18,19427.05666666667
2019-01-12 19,19499.172499999997
2019-01-12 20,19569.001666666667
2019-01-12 21,19971.499999999996
2019-01-12 22,19288.504166666666
2019-01-12 23,19415.36083333333
2019-01-13 00,19014.564166666667
2019-01-13 01,18815.790833333336
2019-01-13 02,18078.116666666665
2019-01-13 03,18041.89833333333
2019-01-13 04,17901.075833333332
2019-01-13 05,17850.089999999997
2019-01-13 06,18369.12
2019-01-13 07,18423.232500000002
2019-01-13 08,18402.6225
2019-01-13 09,19532.128333333338
2019-01-13 10,19392.937499999996
2019-01-13 11,19158.208333333332
2019-01-13 12,18646.605
2019-01-13 13,18830.2775
2019-01-13 14,18960.075833333336
2019-01-13 15,19430.395
2019-01-13 16,20527.586666666666
2019-01-13 17,21301.2
2019-01-13 18,21588.880833333333
2019-01-13 19,21644.38333333333
2019-01-13 20,21036.048333333332
2019-01-13 21,20462.779999999995
2019-01-13 22,18744.44833333333
2019-01-13 23,18480.954999999998
2019-01-14 00,19232.359166666665
2019-01-14 01,18595.039999999997
2019-01-14 02,18076.30833333333
2019-01-14 03,18396.591666666664
2019-01-14 04,18270.6575
2019-01-14 05,19603.963333333333
2019-01-14 06,22399.484166666665
2019-01-14 07,22852.11
2019-01-14 08,22475.225000000006
2019-01-14 09,22173.299166666664
2019-01-14 10,21746.076666666668
2019-01-14 11,21135.02
2019-01-14 12,21701.338333333337
2019-01-14 13,20915.194166666668
2019-01-14 14,21104.002500000002
2019-01-14 15,21429.962499999998
2019-01-14 16,21658.566666666666
2019-01-14 17,22952.37916666667
2019-01-14 18,22854.631666666668
2019-01-14 19,23407.0
2019-01-14 20,23218.0425
2019-01-14 21,21654.158333333333
2019-01-14 22,19725.633333333335
2019-01-14 23,17523.5725
2019-01-15 00,17894.0975
2019-01-15 01,18018.701666666664
2019-01-15 02,18082.899166666666
2019-01-15 03,17069.630833333333
2019-01-15 04,16411.76916666667
2019-01-15 05,19459.16
2019-01-15 06,22021.117499999993
2019-01-15 07,24340.44583333333
2019-01-15 08,23005.352500000005
2019-01-15 09,22851.256666666668
2019-01-15 10,22819.1775
2019-01-15 11,21946.53833333333
2019-01-15 12,21617.521666666664
2019-01-15 13,21664.4425
2019-01-15 14,21327.882500000003
2019-01-15 15,21048.538333333334
2019-01-15 16,22084.545
2019-01-15 17,24213.91
2019-01-15 18,24043.7925
2019-01-15 19,24680.375833333335
2019-01-15 20,23392.17
2019-01-15 21,22573.056666666667
2019-01-15 22,19313.924166666668
2019-01-15 23,17697.4175
2019-01-16 00,18827.129166666673
2019-01-16 01,17931.376666666667
2019-01-16 02,17966.97583333333
2019-01-16 03,17327.24
2019-01-16 04,18754.37
2019-01-16 05,21044.487500000003
2019-01-16 06,23084.575
2019-01-16 07,23593.109166666673
2019-01-16 08,23806.3225
2019-01-16 09,22549.903333333332
2019-01-16 10,22543.227500000005
2019-01-16 11,22187.163333333334
2019-01-16 12,22447.33333333334
2019-01-16 13,22881.411666666667
2019-01-16 14,22814.575
2019-01-16 15,22466.690000000002
2019-01-16 16,23719.599166666663
2019-01-16 17,24840.085000000006
2019-01-16 18,25025.48166666667
2019-01-16 19,25585.841666666664
2019-01-16 20,25648.07416666667
