"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"1","2019-09-09T08:35:00-00:00","2019-09-09T08:40:00-00:00","ALL","2019-09-09",2,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19335.97,1
"2","2019-09-09T08:50:00-00:00","2019-09-09T08:55:00-00:00","ALL","2019-09-09",2,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19147.9,1
"3","2019-09-09T09:10:00-00:00","2019-09-09T09:15:00-00:00","ALL","2019-09-09",3,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19157.25,1
"4","2019-09-09T10:30:00-00:00","2019-09-09T10:35:00-00:00","ALL","2019-09-09",4,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19173.04,1
"5","2019-09-09T10:35:00-00:00","2019-09-09T10:40:00-00:00","ALL","2019-09-09",4,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19159.87,1
"6","2019-09-09T11:15:00-00:00","2019-09-09T11:20:00-00:00","ALL","2019-09-09",5,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19641.36,1
"7","2019-09-09T12:25:00-00:00","2019-09-09T12:30:00-00:00","ALL","2019-09-09",6,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20083.7,1
"8","2019-09-09T12:40:00-00:00","2019-09-09T12:45:00-00:00","ALL","2019-09-09",6,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20132.65,1
"9","2019-09-09T13:40:00-00:00","2019-09-09T13:45:00-00:00","ALL","2019-09-09",7,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22433.35,1
"10","2019-09-09T14:45:00-00:00","2019-09-09T14:50:00-00:00","ALL","2019-09-09",8,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21580.89,1
"11","2019-09-09T15:35:00-00:00","2019-09-09T15:40:00-00:00","ALL","2019-09-09",9,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20996.44,1
"12","2019-09-09T16:20:00-00:00","2019-09-09T16:25:00-00:00","ALL","2019-09-09",10,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19250.16,1
"13","2019-09-09T17:15:00-00:00","2019-09-09T17:20:00-00:00","ALL","2019-09-09",11,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20784.86,1
"14","2019-09-09T18:35:00-00:00","2019-09-09T18:40:00-00:00","ALL","2019-09-09",12,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21908.87,1
"15","2019-09-09T18:50:00-00:00","2019-09-09T18:55:00-00:00","ALL","2019-09-09",12,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22271.44,1
"16","2019-09-09T19:35:00-00:00","2019-09-09T19:40:00-00:00","ALL","2019-09-09",13,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21835.34,1
"17","2019-09-09T20:15:00-00:00","2019-09-09T20:20:00-00:00","ALL","2019-09-09",14,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22333.09,1
"18","2019-09-09T21:20:00-00:00","2019-09-09T21:25:00-00:00","ALL","2019-09-09",15,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23279.14,1
"19","2019-09-09T23:45:00-00:00","2019-09-09T23:50:00-00:00","ALL","2019-09-09",17,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22719.62,1
"20","2019-09-10T00:00:00-00:00","2019-09-10T00:05:00-00:00","ALL","2019-09-09",18,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22841.03,1
"21","2019-09-10T02:40:00-00:00","2019-09-10T02:45:00-00:00","ALL","2019-09-09",20,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23772.91,1
