"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"1","2019-05-16T09:10:00-00:00","2019-05-16T09:15:00-00:00","ALL","2019-05-16",3,3,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,23611.26,1
"2","2019-05-16T09:55:00-00:00","2019-05-16T10:00:00-00:00","ALL","2019-05-16",3,12,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,24040.11,1
"3","2019-05-16T11:50:00-00:00","2019-05-16T11:55:00-00:00","ALL","2019-05-16",5,11,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,23588.51,1
"4","2019-05-16T13:05:00-00:00","2019-05-16T13:10:00-00:00","ALL","2019-05-16",7,2,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27521.15,1
"5","2019-05-16T13:25:00-00:00","2019-05-16T13:30:00-00:00","ALL","2019-05-16",7,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,27597.15,1
"6","2019-05-16T16:00:00-00:00","2019-05-16T16:05:00-00:00","ALL","2019-05-16",10,1,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26440.47,1
"7","2019-05-16T17:25:00-00:00","2019-05-16T17:30:00-00:00","ALL","2019-05-16",11,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26988.07,1
"8","2019-05-16T18:15:00-00:00","2019-05-16T18:20:00-00:00","ALL","2019-05-16",12,4,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,25132.05,1
"9","2019-05-16T19:15:00-00:00","2019-05-16T19:20:00-00:00","ALL","2019-05-16",13,4,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26986.69,1
"10","2019-05-16T19:30:00-00:00","2019-05-16T19:35:00-00:00","ALL","2019-05-16",13,7,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26670.55,1
"11","2019-05-16T19:40:00-00:00","2019-05-16T19:45:00-00:00","ALL","2019-05-16",13,9,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26357.71,1
"12","2019-05-16T19:50:00-00:00","2019-05-16T19:55:00-00:00","ALL","2019-05-16",13,11,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,26731.53,1
"13","2019-05-16T22:25:00-00:00","2019-05-16T22:30:00-00:00","ALL","2019-05-16",16,6,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,28859.35,1
"14","2019-05-16T22:35:00-00:00","2019-05-16T22:40:00-00:00","ALL","2019-05-16",16,8,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,28463.03,1
"15","2019-05-16T22:50:00-00:00","2019-05-16T22:55:00-00:00","ALL","2019-05-16",16,11,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29168.5,1
"16","2019-05-16T23:20:00-00:00","2019-05-16T23:25:00-00:00","ALL","2019-05-16",17,5,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29337.75,1
"17","2019-05-17T00:35:00-00:00","2019-05-17T00:40:00-00:00","ALL","2019-05-16",18,8,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,29295.17,1
"18","2019-05-17T01:00:00-00:00","2019-05-17T01:05:00-00:00","ALL","2019-05-16",19,1,"RTM","Caiso_Totals","Import","ISO_TOT_IMP_MW",2,31008.54,1
