name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
50066_G_UNT1,Geothermal,50,20,0.00120497,2,17.1,1276.122721,0,100000,0.000120497,
52158_G_GEN2,Geothermal,9,3.6,0.002120365,2,3.078,229.7020898,0,100000,0.000212036,
10632_G_GEN1,Geothermal,42,16.8,0.004562822,2,14.364,1071.943086,0,100000,0.000456282,
10875_G_GEN7,Geothermal,21.8,8.72,0.005656124,2,7.4556,556.3895064,0,100000,0.000565612,
54111_G_GEN3,Geothermal,3,1.2,0.006327868,2,1.026,76.56736327,0,100000,0.000632787,
286_G_U11,Geothermal,68,27.2,0.007008192,2,23.256,1735.526901,0,100000,0.000700819,
10879_G_GEN1,Geothermal,10,4,0.007991264,2,3.42,255.2245442,0,100000,0.000799126,
286_G_U16,Geothermal,60,24,0.008519147,2,20.52,1531.347265,0,100000,0.000851915,
50210_G_GEN1,Geothermal,23.5,9.4,0.009876636,2,8.037,599.777679,0,100000,0.000987664,
286_G_U8,Geothermal,40,16,0.009920482,2,13.68,1020.898177,0,100000,0.000992048,
10874_G_GEN6,Geothermal,26.9,10.76,0.012187932,2,9.1998,686.554024,0,100000,0.001218793,
286_G_U12,Geothermal,51,20.4,0.014377401,2,17.442,1301.645176,0,100000,0.00143774,
10873_G_GEN3,Geothermal,26.7,10.68,0.014553161,2,9.1314,681.4495331,0,100000,0.001455316,
54724_G_OEC22,Geothermal,8.5,3.4,0.014714217,2,2.907,216.9408626,0,100000,0.001471422,
10873_G_GEN1,Geothermal,27.5,11,0.01582201,2,9.405,701.8674967,0,100000,0.001582201,
50210_G_GEN2,Geothermal,6,2.4,0.016195995,2,2.052,153.1347265,0,100000,0.0016196,
54111_G_GE13,Geothermal,2,0.8,0.016235798,2,0.684,51.04490885,0,100000,0.00162358,
286_G_U14,Geothermal,60,24,0.016408312,2,20.52,1531.347265,0,100000,0.001640831,
