name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
50066_G_UNT1,50.0,20.0,0.00120497,2,17.1,1276.1227210000002,0.0,100000,0.00012049700000000001
52158_G_GEN2,9.0,3.6,0.002120365,2,3.0780000000000003,229.7020898,0.0,100000,0.00021203599999999997
10632_G_GEN1,42.0,16.8,0.004562822,2,14.364,1071.943086,0.0,100000,0.00045628199999999997
10875_G_GEN7,21.8,8.72,0.005656124,2,7.4556,556.3895064,0.0,100000,0.000565612
54111_G_GEN3,3.0,1.2,0.006327868,2,1.026,76.56736327,0.0,100000,0.000632787
286_G_U11,68.0,27.2,0.007008192,2,23.256,1735.5269010000002,0.0,100000,0.000700819
10879_G_GEN1,10.0,4.0,0.007991264,2,3.42,255.22454419999997,0.0,100000,0.000799126
286_G_U16,60.0,24.0,0.008519147,2,20.52,1531.347265,0.0,100000,0.000851915
50210_G_GEN1,23.5,9.4,0.009876636,2,8.037,599.777679,0.0,100000,0.0009876639999999999
286_G_U8,40.0,16.0,0.009920482,2,13.68,1020.8981769999999,0.0,100000,0.000992048
10874_G_GEN6,26.9,10.76,0.012187932,2,9.1998,686.554024,0.0,100000,0.0012187930000000001
286_G_U12,51.0,20.4,0.014377401000000001,2,17.442,1301.645176,0.0,100000,0.00143774
10873_G_GEN3,26.7,10.68,0.014553161,2,9.1314,681.4495331,0.0,100000,0.0014553160000000001
54724_G_OEC22,8.5,3.4,0.014714217,2,2.907,216.9408626,0.0,100000,0.0014714220000000002
10873_G_GEN1,27.5,11.0,0.01582201,2,9.405,701.8674967000001,0.0,100000,0.001582201
50210_G_GEN2,6.0,2.4,0.016195995,2,2.052,153.1347265,0.0,100000,0.0016196
54111_G_GE13,2.0,0.8,0.016235798,2,0.684,51.04490885,0.0,100000,0.00162358
286_G_U14,60.0,24.0,0.016408311999999998,2,20.52,1531.347265,0.0,100000,0.0016408310000000001
286_G_U5,45.0,18.0,0.016552787,2,15.39,1148.510449,0.0,100000,0.001655279
54111_G_GEN7,3.8,1.52,0.017335918,2,1.2996,96.98532681,0.0,100000,0.0017335920000000002
286_G_U17,60.0,24.0,0.017516006,2,20.52,1531.347265,0.0,100000,0.001751601
54689_G_2,5.0,2.0,0.01798612,2,1.71,127.61227209999998,0.0,100000,0.0017986120000000002
10875_G_GEN8,22.5,9.0,0.018056738,2,7.695,574.2552245,0.0,100000,0.001805674
56832_G_GE3,16.0,6.4,0.01891001,2,5.472,408.3592708,0.0,100000,0.001891001
286_G_U13,65.0,26.0,0.019119509,2,22.23,1658.959538,0.0,100000,0.001911951
54111_G_GEN6,3.0,1.2,0.019329408,2,1.026,76.56736327,0.0,100000,0.001932941
54111_G_GE12,3.8,1.52,0.019342775,2,1.2996,96.98532681,0.0,100000,0.0019342779999999998
57475_G_HRP1,49.9,19.96,0.019606322,2,17.0658,1273.5704759999999,0.0,100000,0.001960632
50964_G_IND,1.1,0.44,0.019871337,2,0.3762,28.07469987,0.0,100000,0.0019871339999999998
10763_G_GBU,3.2,1.28,0.021047651,2,1.0944,81.67185416,0.0,100000,0.002104765
10634_G_GEN1,42.0,16.8,0.02164916,2,14.364,1071.943086,0.0,100000,0.0021649160000000002
10481_G_3,3.0,1.2,0.021848345,2,1.026,76.56736327,0.0,100000,0.002184834
510_G_1,50.0,20.0,0.022244762,2,17.1,1276.1227210000002,0.0,100000,0.002224476
54111_G_GEN9,3.8,1.52,0.022252078999999998,2,1.2996,96.98532681,0.0,100000,0.002225208
50964_G_SYN,1.1,0.44,0.022467065,2,0.3762,28.07469987,0.0,100000,0.0022467060000000002
10763_G_GEN1,13.5,5.4,0.024380306,2,4.617,344.5531347,0.0,100000,0.0024380310000000002
50766_G_OE32,0.7,0.28,0.025102662,2,0.2394,17.865718100000002,0.0,100000,0.002510266
55984_G_TG21,10.9,4.36,0.026190104,2,3.7278,278.1947532,0.0,100000,0.00261901
10480_G_GEN2,3.2,1.28,0.026195631,2,1.0944,81.67185416,0.0,100000,0.002619563
54111_G_GEN5,3.0,1.2,0.027480523,2,1.026,76.56736327,0.0,100000,0.002748052
54996_G_4100,44.0,17.6,0.027667865,2,15.048,1122.987995,0.0,100000,0.002766787
10479_G_T102,4.0,1.6,0.027876422999999997,2,1.368,102.0898177,0.0,100000,0.0027876420000000003
56832_G_GE1,16.0,6.4,0.029262778,2,5.472,408.3592708,0.0,100000,0.002926278
56832_G_GE4,16.0,6.4,0.029488194,2,5.472,408.3592708,0.0,100000,0.002948819
7368_G_2,27.0,10.8,0.030238877999999997,2,9.234,689.1062695,0.0,100000,0.0030238879999999997
10878_G_EE11,10.0,4.0,0.030263493,2,3.42,255.22454419999997,0.0,100000,0.0030263490000000002
10879_G_GEN2,4.0,1.6,0.03042467,2,1.368,102.0898177,0.0,100000,0.003042467
10874_G_GEN5,23.4,9.36,0.030722405,2,8.0028,597.2254335,0.0,100000,0.003072241
