name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
10191_G_EXIS,Onshore Wind,8.7,0.0,0.01803884330957835,0.0,8.7,0.0,0.0,39550.0,9999.0
10437_G_SUN2,Solar PV,20.0,0.0,0.011000017318659983,0.0,20.0,0.0,0.0,27750.0,9999.0
10438_G_SUN3,Solar PV,13.8,0.0,0.0233752837470888,0.0,13.8,0.0,0.0,27750.0,9999.0
10439_B_3U100,Solar Thermal,36.0,0.0,,0.0,36.0,0.0,,,9999.0
10440_B_4U100,Solar Thermal,36.0,0.0,,0.0,36.0,0.0,,,9999.0
10441_B_5U100,Solar Thermal,36.0,0.0,,0.0,36.0,0.0,,,9999.0
10442_B_6U100,Solar Thermal,36.0,0.0,,0.0,36.0,0.0,,,9999.0
10443_B_7U100,Solar Thermal,36.0,0.0,,0.0,36.0,0.0,,,9999.0
10444_B_HTFHTR,Solar Thermal,88.0,0.0,,0.0,88.0,0.0,,,9999.0
10446_B_HTFHTR,Solar Thermal,88.0,0.0,,0.0,88.0,0.0,,,9999.0
10586_G_EXIS,Onshore Wind,59.6,0.0,0.01661373839262045,0.0,59.6,0.0,0.0,39550.0,9999.0
10597_G_WGN1,Onshore Wind,29.0,0.0,0.008404199630737597,0.0,29.0,0.0,0.0,39550.0,9999.0
10718_G_WND,Onshore Wind,11.7,0.0,0.020019158615535784,0.0,11.7,0.0,0.0,39550.0,9999.0
50276_G_EXIS,Onshore Wind,5.9,0.0,0.012091942157028135,0.0,5.9,0.0,0.0,39550.0,9999.0
50281_G_WGEN,Onshore Wind,31.0,0.0,0.004641931630059143,0.0,31.0,0.0,0.0,39550.0,9999.0
50532_G_15SLE,Onshore Wind,1.5,0.0,0.029078160319202045,0.0,1.5,0.0,0.0,39550.0,9999.0
50532_G_WGNS,Onshore Wind,19.6,0.0,0.02144277546480232,0.0,19.6,0.0,0.0,39550.0,9999.0
50535_G_WGNS,Onshore Wind,49.9,0.0,0.011309777140121203,0.0,49.9,0.0,0.0,39550.0,9999.0
50536_G_WGNS,Onshore Wind,76.9,0.0,0.01978241709752536,0.0,76.9,0.0,0.0,39550.0,9999.0
50552_G_WGNS,Onshore Wind,39.7,0.0,0.03134357196595807,0.0,39.7,0.0,0.0,39550.0,9999.0
50553_G_1,Onshore Wind,20.0,0.0,0.01209567820774788,0.0,20.0,0.0,0.0,39550.0,9999.0
50690_G_GEN1,Onshore Wind,43.4,0.0,0.04752020447438436,0.0,43.4,0.0,0.0,39550.0,9999.0
50754_G_GEN1,Onshore Wind,3.5,0.0,0.001424495290621558,0.0,3.5,0.0,0.0,39550.0,9999.0
50754_G_GEN2,Onshore Wind,4.2,0.0,0.014627389342043063,0.0,4.2,0.0,0.0,39550.0,9999.0
50754_G_GEN3,Onshore Wind,23.1,0.0,0.0434246510159268,0.0,23.1,0.0,0.0,39550.0,9999.0
50754_G_GEN4,Onshore Wind,3.7,0.0,0.036815374225053786,0.0,3.7,0.0,0.0,39550.0,9999.0
50820_G_GEN1,Onshore Wind,3.0,0.0,0.010242967647743656,0.0,3.0,0.0,0.0,39550.0,9999.0
50821_G_GEN1,Onshore Wind,30.0,0.0,0.037859350021430566,0.0,30.0,0.0,0.0,39550.0,9999.0
50822_G_GEN1,Onshore Wind,25.0,0.0,0.01578183575658258,0.0,25.0,0.0,0.0,39550.0,9999.0
50823_G_GEN1,Onshore Wind,30.0,0.0,0.03284431644848012,0.0,30.0,0.0,0.0,39550.0,9999.0
52142_G_GEN1,Onshore Wind,29.0,0.0,0.0041533266785466205,0.0,29.0,0.0,0.0,39550.0,9999.0
52143_G_GEN1,Onshore Wind,23.5,0.0,0.010981884346194237,0.0,23.5,0.0,0.0,39550.0,9999.0
52144_G_GEN1,Onshore Wind,22.5,0.0,0.005779582184667564,0.0,22.5,0.0,0.0,39550.0,9999.0
52162_G_WGNS,Onshore Wind,14.1,0.0,0.03234322444181142,0.0,14.1,0.0,0.0,39550.0,9999.0
52163_G_WTGN,Onshore Wind,21.2,0.0,0.028468895747799167,0.0,21.2,0.0,0.0,39550.0,9999.0
52165_G_WGNS,Onshore Wind,1.8,0.0,0.02076310601384733,0.0,1.8,0.0,0.0,39550.0,9999.0
54298_G_GEWE,Onshore Wind,7.5,0.0,0.02615460467370825,0.0,7.5,0.0,0.0,39550.0,9999.0
54299_G_GEWE,Onshore Wind,3.0,0.0,0.03031345387222911,0.0,3.0,0.0,0.0,39550.0,9999.0
54300_G_GEWE,Onshore Wind,4.5,0.0,0.03279413862754455,0.0,4.5,0.0,0.0,39550.0,9999.0
54453_G_GEN2,Onshore Wind,15.5,0.0,0.00350235141074981,0.0,15.5,0.0,0.0,39550.0,9999.0
54454_G_GEN11,Onshore Wind,49.5,0.0,0.024052498639092673,0.0,49.5,0.0,0.0,39550.0,9999.0
54647_G_EXIS,Onshore Wind,28.7,0.0,0.04506579179461564,0.0,28.7,0.0,0.0,39550.0,9999.0
54650_G_EXI2,Onshore Wind,9.1,0.0,0.02867264874015342,0.0,9.1,0.0,0.0,39550.0,9999.0
54650_G_EXIS,Onshore Wind,9.6,0.0,0.0429681394679897,0.0,9.6,0.0,0.0,39550.0,9999.0
54750_G_VW1,Onshore Wind,6.5,0.0,0.030912453049483715,0.0,6.5,0.0,0.0,39550.0,9999.0
54909_G_EXI2,Onshore Wind,8.3,0.0,0.028099116289253386,0.0,8.3,0.0,0.0,39550.0,9999.0
54909_G_EXIS,Onshore Wind,13.6,0.0,0.03258993250500492,0.0,13.6,0.0,0.0,39550.0,9999.0
54931_G_WGN1,Onshore Wind,46.9,0.0,0.04967575014383307,0.0,46.9,0.0,0.0,39550.0,9999.0
55396_G_WGNS,Onshore Wind,16.5,0.0,0.048048708663145055,0.0,16.5,0.0,0.0,39550.0,9999.0
55719_G_GEN2,Onshore Wind,22.2,0.0,0.004814816731374261,0.0,22.2,0.0,0.0,39550.0,9999.0
55719_G_GENI,Onshore Wind,44.4,0.0,0.04879845656358606,0.0,44.4,0.0,0.0,39550.0,9999.0
56011_G_V-47,Onshore Wind,41.0,0.0,0.008551056329086615,0.0,41.0,0.0,0.0,39550.0,9999.0
56012_G_1,Onshore Wind,61.5,0.0,0.02038812581832309,0.0,61.5,0.0,0.0,39550.0,9999.0
56075_G_1,Onshore Wind,145.8,0.0,0.018749591058293047,0.0,145.8,0.0,0.0,39550.0,9999.0
56075_G_2,Onshore Wind,16.2,0.0,0.016801590061695803,0.0,16.2,0.0,0.0,39550.0,9999.0
56112_G_V47,Onshore Wind,22.4,0.0,0.011528927930001704,0.0,22.4,0.0,0.0,39550.0,9999.0
56271_G_VEST,Onshore Wind,18.0,0.0,0.015807677695152428,0.0,18.0,0.0,0.0,39550.0,9999.0
56275_G_WGNS,Onshore Wind,2.4,0.0,0.02138314540904357,0.0,2.4,0.0,0.0,39550.0,9999.0
56276_G_WGNS,Onshore Wind,1.6,0.0,0.0278912626447944,0.0,1.6,0.0,0.0,39550.0,9999.0
56295_G_1,Onshore Wind,50.0,0.0,0.004570556188502245,0.0,50.0,0.0,0.0,39550.0,9999.0
56302_G_1,Onshore Wind,60.0,0.0,0.020632314237912747,0.0,60.0,0.0,0.0,39550.0,9999.0
56362_G_1,Onshore Wind,150.0,0.0,0.03131394542786474,0.0,150.0,0.0,0.0,39550.0,9999.0
56433_G_1,Onshore Wind,135.0,0.0,0.0428816577802027,0.0,135.0,0.0,0.0,39550.0,9999.0
56446_G_1,Onshore Wind,38.0,0.0,0.015416043341815223,0.0,38.0,0.0,0.0,39550.0,9999.0
56570_G_WGNS,Onshore Wind,7.4,0.0,0.00861840348090175,0.0,7.4,0.0,0.0,39550.0,9999.0
56654_G_1,Onshore Wind,101.2,0.0,0.04359439930501752,0.0,101.2,0.0,0.0,39550.0,9999.0
56768_G_CR1,Solar PV,5.0,0.0,0.006586986412706136,0.0,5.0,0.0,0.0,27750.0,9999.0
56791_G_1,Onshore Wind,45.0,0.0,0.011218253464494727,0.0,45.0,0.0,0.0,39550.0,9999.0
56813_G_1,Solar PV,0.5,0.0,0.01388351523874351,0.0,0.5,0.0,0.0,27750.0,9999.0
56813_G_2,Solar PV,0.5,0.0,0.030880567974165243,0.0,0.5,0.0,0.0,27750.0,9999.0
56814_G_PV1,Solar PV,0.4,0.0,0.01774307348194711,0.0,0.4,0.0,0.0,27750.0,9999.0
56814_G_PV2,Solar PV,0.4,0.0,0.007990638767630981,0.0,0.4,0.0,0.0,27750.0,9999.0
56862_G_1,Solar PV,0.3,0.0,0.0032244753115030778,0.0,0.3,0.0,0.0,27750.0,9999.0
56862_G_2,Solar PV,0.3,0.0,0.043271231543639405,0.0,0.3,0.0,0.0,27750.0,9999.0
56862_G_3,Solar PV,0.3,0.0,0.04069890929997897,0.0,0.3,0.0,0.0,27750.0,9999.0
56862_G_4,Solar PV,0.3,0.0,0.03491701960643857,0.0,0.3,0.0,0.0,27750.0,9999.0
56874_G_TBD,Onshore Wind,150.0,0.0,0.049762503129513476,0.0,150.0,0.0,0.0,39550.0,9999.0
56875_G_TBD,Solar PV,1.0,0.0,0.03770932746648332,0.0,1.0,0.0,0.0,27750.0,9999.0
56909_G_1,Solar PV,0.3,0.0,0.010510182286580289,0.0,0.3,0.0,0.0,27750.0,9999.0
56909_G_2,Solar PV,0.3,0.0,0.04417848708417867,0.0,0.3,0.0,0.0,27750.0,9999.0
56909_G_3,Solar PV,0.3,0.0,0.02757030153556052,0.0,0.3,0.0,0.0,27750.0,9999.0
56909_G_4,Solar PV,0.3,0.0,0.042948203949618395,0.0,0.3,0.0,0.0,27750.0,9999.0
56917_G_1,Solar PV,101.0,0.0,0.03249610880506261,0.0,101.0,0.0,0.0,27750.0,9999.0
56917_G_1A,Solar PV,64.6,0.0,0.02504342253434625,0.0,64.6,0.0,0.0,27750.0,9999.0
56917_G_1B,Solar PV,34.3,0.0,0.047780123343955996,0.0,34.3,0.0,0.0,27750.0,9999.0
56939_G_1,Solar PV,21.0,0.0,0.009236994324898924,0.0,21.0,0.0,0.0,27750.0,9999.0
56996_G_S1A,Solar PV,0.5,0.0,0.029808128057777796,0.0,0.5,0.0,0.0,27750.0,9999.0
56996_G_S1B,Solar PV,0.5,0.0,0.03830946364619575,0.0,0.5,0.0,0.0,27750.0,9999.0
57004_G_1,Solar PV,0.9,0.0,0.008565578283089698,0.0,0.9,0.0,0.0,27750.0,9999.0
57005_G_1,Solar PV,0.9,0.0,0.009684831108669268,0.0,0.9,0.0,0.0,27750.0,9999.0
57006_G_1,Solar PV,0.9,0.0,0.016310957951929272,0.0,0.9,0.0,0.0,27750.0,9999.0
57007_G_1,Solar PV,0.9,0.0,0.04650845268274405,0.0,0.9,0.0,0.0,27750.0,9999.0
57008_G_1,Solar PV,0.8,0.0,0.016288665498195715,0.0,0.8,0.0,0.0,27750.0,9999.0
57009_G_1,Solar PV,0.9,0.0,0.04842096291855314,0.0,0.9,0.0,0.0,27750.0,9999.0
57010_G_1,Solar PV,0.9,0.0,0.04433534322429508,0.0,0.9,0.0,0.0,27750.0,9999.0
57011_G_1,Solar PV,0.9,0.0,0.00432541534032399,0.0,0.9,0.0,0.0,27750.0,9999.0
57012_G_1,Solar PV,0.9,0.0,0.01605845906356413,0.0,0.9,0.0,0.0,27750.0,9999.0
57041_G_1,Solar PV,2.0,0.0,0.008284652990351039,0.0,2.0,0.0,0.0,27750.0,9999.0
57073_B_BLR1,Solar Thermal,133.0,0.0,,0.0,133.0,0.0,,,9999.0
57074_B_BLR1,Solar Thermal,133.0,0.0,,0.0,133.0,0.0,,,9999.0
57075_B_BLR1,Solar Thermal,133.0,0.0,,0.0,133.0,0.0,,,9999.0
57201_G_S2.3,Onshore Wind,36.8,0.0,0.024168010901405752,0.0,36.8,0.0,0.0,39550.0,9999.0
57217_G_S003A,Solar PV,0.5,0.0,0.03754388624471775,0.0,0.5,0.0,0.0,27750.0,9999.0
57217_G_S003B,Solar PV,0.5,0.0,0.027498189570969264,0.0,0.5,0.0,0.0,27750.0,9999.0
57219_G_S005A,Solar PV,0.5,0.0,0.008482590056993844,0.0,0.5,0.0,0.0,27750.0,9999.0
57219_G_S005B,Solar PV,0.5,0.0,0.021881972549022674,0.0,0.5,0.0,0.0,27750.0,9999.0
57219_G_S005C,Solar PV,0.5,0.0,0.04224609148555911,0.0,0.5,0.0,0.0,27750.0,9999.0
57219_G_S005D,Solar PV,0.5,0.0,0.009404546220151029,0.0,0.5,0.0,0.0,27750.0,9999.0
57219_G_S005E,Solar PV,0.5,0.0,0.04538736655582448,0.0,0.5,0.0,0.0,27750.0,9999.0
57220_G_S006A,Solar PV,0.5,0.0,6.325326914393693e-05,0.0,0.5,0.0,0.0,27750.0,9999.0
57220_G_S006B,Solar PV,0.5,0.0,0.03327383014983412,0.0,0.5,0.0,0.0,27750.0,9999.0
57220_G_S006C,Solar PV,0.5,0.0,0.0015838708716869932,0.0,0.5,0.0,0.0,27750.0,9999.0
57220_G_S006D,Solar PV,0.5,0.0,0.03644140394437614,0.0,0.5,0.0,0.0,27750.0,9999.0
57221_G_S007A,Solar PV,0.5,0.0,2.325485413979256e-05,0.0,0.5,0.0,0.0,27750.0,9999.0
57221_G_S007B,Solar PV,0.5,0.0,0.031739352955433175,0.0,0.5,0.0,0.0,27750.0,9999.0
57221_G_S007C,Solar PV,0.5,0.0,0.018183821938718227,0.0,0.5,0.0,0.0,27750.0,9999.0
57221_G_S007D,Solar PV,0.5,0.0,0.026381241400804712,0.0,0.5,0.0,0.0,27750.0,9999.0
57221_G_S007E,Solar PV,0.5,0.0,0.03412734696694131,0.0,0.5,0.0,0.0,27750.0,9999.0
57222_G_S008A,Solar PV,0.5,0.0,0.018990710094440207,0.0,0.5,0.0,0.0,27750.0,9999.0
57222_G_S008B,Solar PV,0.5,0.0,0.04257456933279391,0.0,0.5,0.0,0.0,27750.0,9999.0
57222_G_S008C,Solar PV,0.5,0.0,0.046836927533553264,0.0,0.5,0.0,0.0,27750.0,9999.0
57222_G_S008D,Solar PV,0.5,0.0,0.0032202278866089898,0.0,0.5,0.0,0.0,27750.0,9999.0
57223_G_S009A,Solar PV,0.5,0.0,0.0488485549517911,0.0,0.5,0.0,0.0,27750.0,9999.0
57223_G_S009B,Solar PV,0.5,0.0,0.04054184820415336,0.0,0.5,0.0,0.0,27750.0,9999.0
57224_G_S010A,Solar PV,0.5,0.0,0.0018613437169380243,0.0,0.5,0.0,0.0,27750.0,9999.0
57224_G_S010B,Solar PV,0.5,0.0,0.008377436731655252,0.0,0.5,0.0,0.0,27750.0,9999.0
57224_G_S010C,Solar PV,0.5,0.0,0.03330605360096183,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011A,Solar PV,0.5,0.0,0.031492109752530924,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011B,Solar PV,0.5,0.0,0.033820770277024396,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011C,Solar PV,0.5,0.0,0.03253888459037791,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011D,Solar PV,0.5,0.0,0.045891063470932726,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011E,Solar PV,0.5,0.0,0.0481526738175453,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011F,Solar PV,0.5,0.0,0.0009543293631799177,0.0,0.5,0.0,0.0,27750.0,9999.0
57225_G_S011G,Solar PV,0.5,0.0,0.049634453133458864,0.0,0.5,0.0,0.0,27750.0,9999.0
57226_G_S012A,Solar PV,0.5,0.0,0.018186369244926566,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013A,Solar PV,0.5,0.0,0.042401223362301205,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013B,Solar PV,0.5,0.0,0.04113102999996259,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013C,Solar PV,0.5,0.0,0.011576846100480416,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013D,Solar PV,0.5,0.0,0.03718739609519169,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013E,Solar PV,0.5,0.0,0.034655024453510284,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013F,Solar PV,0.5,0.0,0.025141567774127283,0.0,0.5,0.0,0.0,27750.0,9999.0
57227_G_S013G,Solar PV,0.5,0.0,0.008360004690403228,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015A,Solar PV,0.5,0.0,0.017613352436682477,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015B,Solar PV,0.5,0.0,0.03583897787150154,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015C,Solar PV,0.5,0.0,0.009535657422601141,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015D,Solar PV,0.5,0.0,0.008134104600960724,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015E,Solar PV,0.5,0.0,0.0010336951297878205,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015F,Solar PV,0.5,0.0,0.04512446732314401,0.0,0.5,0.0,0.0,27750.0,9999.0
57229_G_S015G,Solar PV,0.5,0.0,0.010705407644226695,0.0,0.5,0.0,0.0,27750.0,9999.0
57230_G_S016A,Solar PV,0.5,0.0,0.020531865160683057,0.0,0.5,0.0,0.0,27750.0,9999.0
57230_G_S016B,Solar PV,0.5,0.0,0.009553413546390077,0.0,0.5,0.0,0.0,27750.0,9999.0
57230_G_S016C,Solar PV,0.5,0.0,0.014964932096762236,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017A,Solar PV,0.5,0.0,0.011391768478690856,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017B,Solar PV,0.5,0.0,0.031791213357616276,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017C,Solar PV,0.5,0.0,0.03717915912341343,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017D,Solar PV,0.5,0.0,0.005834988714054007,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017E,Solar PV,0.5,0.0,0.0017701646315321229,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017F,Solar PV,0.5,0.0,0.026675220344569064,0.0,0.5,0.0,0.0,27750.0,9999.0
57231_G_S017G,Solar PV,0.5,0.0,0.00539669039664239,0.0,0.5,0.0,0.0,27750.0,9999.0
57232_G_S018A,Solar PV,0.5,0.0,0.046482510630613594,0.0,0.5,0.0,0.0,27750.0,9999.0
57232_G_S018B,Solar PV,0.5,0.0,0.014758197365446113,0.0,0.5,0.0,0.0,27750.0,9999.0
57232_G_S018C,Solar PV,0.5,0.0,0.03008364648409015,0.0,0.5,0.0,0.0,27750.0,9999.0
57236_G_S023A,Solar PV,0.5,0.0,0.01291964643346385,0.0,0.5,0.0,0.0,27750.0,9999.0
57236_G_S023B,Solar PV,0.5,0.0,0.013004171648085884,0.0,0.5,0.0,0.0,27750.0,9999.0
57236_G_S023C,Solar PV,0.5,0.0,0.004256041982671716,0.0,0.5,0.0,0.0,27750.0,9999.0
57236_G_S023D,Solar PV,0.5,0.0,0.03931148867334087,0.0,0.5,0.0,0.0,27750.0,9999.0
57236_G_S023E,Solar PV,0.5,0.0,0.04432214810933063,0.0,0.5,0.0,0.0,27750.0,9999.0
57237_G_S022A,Solar PV,0.5,0.0,0.04278672946404107,0.0,0.5,0.0,0.0,27750.0,9999.0
57237_G_S022B,Solar PV,0.5,0.0,0.041105640460850745,0.0,0.5,0.0,0.0,27750.0,9999.0
57237_G_S022C,Solar PV,0.5,0.0,0.015798205156725104,0.0,0.5,0.0,0.0,27750.0,9999.0
57237_G_S022D,Solar PV,0.5,0.0,0.028234149920991932,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026A,Solar PV,0.5,0.0,0.049071118292560355,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026B,Solar PV,0.5,0.0,0.04501254455954909,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026C,Solar PV,0.5,0.0,0.043484349356453074,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026D,Solar PV,0.5,0.0,0.02537038814772806,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026E,Solar PV,0.5,0.0,0.0426733120355858,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026F,Solar PV,0.5,0.0,0.04020623806673191,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026G,Solar PV,0.5,0.0,0.038769534936167166,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026H,Solar PV,0.5,0.0,0.00627656345303187,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026I,Solar PV,0.5,0.0,0.018304938191204028,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_S026J,Solar PV,0.5,0.0,0.04675169505850929,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_SO26K,Solar PV,0.5,0.0,0.01549018835519166,0.0,0.5,0.0,0.0,27750.0,9999.0
57245_G_SO26L,Solar PV,0.5,0.0,0.0037069495825830913,0.0,0.5,0.0,0.0,27750.0,9999.0
57246_G_S027A,Solar PV,0.5,0.0,0.013354337837055802,0.0,0.5,0.0,0.0,27750.0,9999.0
57246_G_S027B,Solar PV,0.5,0.0,0.03211929462634399,0.0,0.5,0.0,0.0,27750.0,9999.0
57246_G_S027C,Solar PV,0.5,0.0,0.01561459564297964,0.0,0.5,0.0,0.0,27750.0,9999.0
57246_G_S027D,Solar PV,0.5,0.0,0.005775193850932431,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028A,Solar PV,0.5,0.0,0.007138233227131335,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028B,Solar PV,0.5,0.0,0.03945995613834952,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028C,Solar PV,0.5,0.0,0.000810321476571757,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028D,Solar PV,0.5,0.0,0.016204787033700048,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028E,Solar PV,0.5,0.0,0.022279194616394556,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028F,Solar PV,0.5,0.0,0.034901606667890155,0.0,0.5,0.0,0.0,27750.0,9999.0
57247_G_S028G,Solar PV,0.5,0.0,0.03153780672426722,0.0,0.5,0.0,0.0,27750.0,9999.0
57254_G_1PV,Solar PV,1.0,0.0,0.03295074477601013,0.0,1.0,0.0,0.0,27750.0,9999.0
57282_G_AW01,Onshore Wind,150.0,0.0,0.02132203643289754,0.0,150.0,0.0,0.0,39550.0,9999.0
57291_G_AW02,Onshore Wind,150.0,0.0,0.017745482934562806,0.0,150.0,0.0,0.0,39550.0,9999.0
57292_G_AW03,Onshore Wind,150.0,0.0,0.04700788922540004,0.0,150.0,0.0,0.0,39550.0,9999.0
57293_G_AW04,Onshore Wind,102.0,0.0,0.017904366347526245,0.0,102.0,0.0,0.0,39550.0,9999.0
57294_G_AW05,Onshore Wind,168.0,0.0,0.008615284299845833,0.0,168.0,0.0,0.0,39550.0,9999.0
57295_G_1,Solar PV,66.0,0.0,0.003536435545800182,0.0,66.0,0.0,0.0,27750.0,9999.0
57302_G_1,Onshore Wind,6.5,0.0,0.020269206658721763,0.0,6.5,0.0,0.0,39550.0,9999.0
57305_G_1,Solar PV,10.0,0.0,0.0032846538058519063,0.0,10.0,0.0,0.0,27750.0,9999.0
57306_G_1,Solar PV,8.5,0.0,0.029791366269705317,0.0,8.5,0.0,0.0,27750.0,9999.0
57308_G_1,Solar PV,2.2,0.0,0.0038947948524630017,0.0,2.2,0.0,0.0,27750.0,9999.0
57309_G_1,Solar PV,1.1,0.0,0.0044679769555156235,0.0,1.1,0.0,0.0,27750.0,9999.0
57310_G_1,Solar PV,1.3,0.0,0.03397297882507862,0.0,1.3,0.0,0.0,27750.0,9999.0
57311_G_1,Solar PV,1.0,0.0,0.04841393889812717,0.0,1.0,0.0,0.0,27750.0,9999.0
57313_G_1,Solar PV,1.2,0.0,0.013055813490501734,0.0,1.2,0.0,0.0,27750.0,9999.0
57314_G_1,Solar PV,2.2,0.0,0.04000404836541667,0.0,2.2,0.0,0.0,27750.0,9999.0
57331_B_MSP1,Solar Thermal,138.0,0.0,,0.0,138.0,0.0,,,9999.0
57331_B_MSP2,Solar Thermal,138.0,0.0,,0.0,138.0,0.0,,,9999.0
57359_G_1,Solar PV,6.0,0.0,0.001012067339394135,0.0,6.0,0.0,0.0,27750.0,9999.0
57360_G_1,Solar PV,20.0,0.0,0.016215835039319042,0.0,20.0,0.0,0.0,27750.0,9999.0
57361_G_1,Solar PV,19.0,0.0,0.032588357933963856,0.0,19.0,0.0,0.0,27750.0,9999.0
57378_G_AVSR,Solar PV,241.5,0.0,0.010770399500926559,0.0,241.5,0.0,0.0,27750.0,9999.0
57394_B_SOLAR,Solar Thermal,250.0,0.0,,0.0,250.0,0.0,,,9999.0
