Plant Name,1,2,3,4,5,6,7,8,9,10,11,12
Rollins,"2,889","4,344","8,641","9,288","8,831","8,737","8,086","7,502","5,627","4,366","3,496","4,119"
Venice Hydro,0,0,0,0,0,0,0,0,0,0,0,0
Turlock Lake,300,451,898,965,917,908,840,779,585,454,363,428
Hickman,159,239,475,510,485,480,444,412,309,240,192,226
Volta 2,173,259,516,555,527,522,483,448,336,261,209,246
Alta Powerhouse,129,195,387,416,396,391,362,336,252,196,157,184
Angels,243,365,727,781,743,735,680,631,473,367,294,346
Balch 1,"6,211","9,340","18,576","19,968","18,986","18,782","17,384","16,129","12,098","9,386","7,515","8,855"
Balch 2,"22,116","33,258","66,147","71,102","67,608","66,882","61,903","57,434","43,081","33,422","26,761","31,530"
Belden,"38,305","28,511","24,511",0,"26,669","49,585","49,458","45,644","44,960","38,965","29,828","53,253"
Bucks Creek,"6,099","9,172","18,243","19,609","18,646","18,445","17,072","15,840","11,881","9,218","7,380","8,696"
Butt Valley,"4,938","7,425","14,768","15,874","15,094","14,932","13,821","12,823","9,618","7,462","5,975","7,039"
Caribou 1,"5,061","7,611","15,138","16,272","15,472","15,306","14,167","13,144","9,859","7,649","6,124","7,216"
Caribou 2,"54,319","33,040","66,993","72,143","55,004","77,340","61,799","61,223","64,011","34,303","32,255","66,180"
Chili Bar,"1,336","2,010","3,997","4,296","4,085","4,041","3,740","3,470","2,603","2,020","1,617","1,905"
Coleman PH,"1,567","2,356","4,687","5,038","4,790","4,739","4,386","4,069","3,052","2,368","1,896","2,234"
Cow Creek,170,256,510,548,521,515,477,443,332,258,206,243
Cresta,"14,123","21,238","42,240","45,404","43,173","42,709","39,530","36,677","27,510","21,343","17,089","20,134"
De Sabla,"2,076","3,123","6,211","6,676","6,348","6,280","5,812","5,393","4,045","3,138","2,513","2,960"
Deer Creek PH,616,927,"1,843","1,982","1,884","1,864","1,725","1,601","1,201",931,746,879
Drum 1,"2,791","4,196","8,346","8,971","8,531","8,439","7,811","7,247","5,436","4,217","3,377","3,978"
Drum 2,"10,596","15,935","31,693","34,067","32,393","32,045","29,660","27,518","20,641","16,014","12,822","15,107"
Dutch Flat,"2,549","3,834","7,625","8,196","7,794","7,710","7,136","6,621","4,966","3,853","3,085","3,635"
El Dorado,"3,259","4,901","9,747","10,477","9,962","9,855","9,122","8,463","6,348","4,925","3,943","4,646"
