"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"1","2019-04-23T23:00:00-00:00","2019-04-24T00:00:00-00:00",0,"2019-04-23",17,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3229,"ACTUAL",1
"2","2019-04-23T10:00:00-00:00","2019-04-23T11:00:00-00:00",0,"2019-04-23",4,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2352,"ACTUAL",1
"3","2019-04-23T08:00:00-00:00","2019-04-23T09:00:00-00:00",0,"2019-04-23",2,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2432,"ACTUAL",1
"4","2019-04-23T21:00:00-00:00","2019-04-23T22:00:00-00:00",0,"2019-04-23",15,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3021,"ACTUAL",1
"5","2019-04-23T19:00:00-00:00","2019-04-23T20:00:00-00:00",0,"2019-04-23",13,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2901,"ACTUAL",1
"6","2019-04-23T18:00:00-00:00","2019-04-23T19:00:00-00:00",0,"2019-04-23",12,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2668,"ACTUAL",1
"7","2019-04-24T00:00:00-00:00","2019-04-24T01:00:00-00:00",0,"2019-04-23",18,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3305,"ACTUAL",1
"8","2019-04-23T15:00:00-00:00","2019-04-23T16:00:00-00:00",0,"2019-04-23",9,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2656,"ACTUAL",1
"9","2019-04-24T06:00:00-00:00","2019-04-24T07:00:00-00:00",0,"2019-04-23",24,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2758,"ACTUAL",1
"10","2019-04-24T03:00:00-00:00","2019-04-24T04:00:00-00:00",0,"2019-04-23",21,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3482,"ACTUAL",1
"11","2019-04-24T02:00:00-00:00","2019-04-24T03:00:00-00:00",0,"2019-04-23",20,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3475,"ACTUAL",1
"12","2019-04-23T14:00:00-00:00","2019-04-23T15:00:00-00:00",0,"2019-04-23",8,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2717,"ACTUAL",1
"13","2019-04-23T13:00:00-00:00","2019-04-23T14:00:00-00:00",0,"2019-04-23",7,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2716,"ACTUAL",1
"14","2019-04-23T17:00:00-00:00","2019-04-23T18:00:00-00:00",0,"2019-04-23",11,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2652,"ACTUAL",1
"15","2019-04-23T11:00:00-00:00","2019-04-23T12:00:00-00:00",0,"2019-04-23",5,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2410,"ACTUAL",1
"16","2019-04-24T05:00:00-00:00","2019-04-24T06:00:00-00:00",0,"2019-04-23",23,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3035,"ACTUAL",1
"17","2019-04-23T22:00:00-00:00","2019-04-23T23:00:00-00:00",0,"2019-04-23",16,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3046,"ACTUAL",1
"18","2019-04-23T16:00:00-00:00","2019-04-23T17:00:00-00:00",0,"2019-04-23",10,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2644,"ACTUAL",1
"19","2019-04-24T04:00:00-00:00","2019-04-24T05:00:00-00:00",0,"2019-04-23",22,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3308,"ACTUAL",1
"20","2019-04-24T01:00:00-00:00","2019-04-24T02:00:00-00:00",0,"2019-04-23",19,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3376,"ACTUAL",1
"21","2019-04-23T20:00:00-00:00","2019-04-23T21:00:00-00:00",0,"2019-04-23",14,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3087,"ACTUAL",1
"22","2019-04-23T12:00:00-00:00","2019-04-23T13:00:00-00:00",0,"2019-04-23",6,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2566,"ACTUAL",1
"23","2019-04-23T09:00:00-00:00","2019-04-23T10:00:00-00:00",0,"2019-04-23",3,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2367,"ACTUAL",1
"24","2019-04-23T22:00:00-00:00","2019-04-23T23:00:00-00:00",0,"2019-04-23",16,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1481,"ACTUAL",2
"25","2019-04-23T18:00:00-00:00","2019-04-23T19:00:00-00:00",0,"2019-04-23",12,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1233,"ACTUAL",2
"26","2019-04-23T13:00:00-00:00","2019-04-23T14:00:00-00:00",0,"2019-04-23",7,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1029,"ACTUAL",2
"27","2019-04-23T21:00:00-00:00","2019-04-23T22:00:00-00:00",0,"2019-04-23",15,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1407,"ACTUAL",2
"28","2019-04-23T11:00:00-00:00","2019-04-23T12:00:00-00:00",0,"2019-04-23",5,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,880,"ACTUAL",2
"29","2019-04-23T17:00:00-00:00","2019-04-23T18:00:00-00:00",0,"2019-04-23",11,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1195,"ACTUAL",2
"30","2019-04-24T03:00:00-00:00","2019-04-24T04:00:00-00:00",0,"2019-04-23",21,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1556,"ACTUAL",2
"31","2019-04-23T09:00:00-00:00","2019-04-23T10:00:00-00:00",0,"2019-04-23",3,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,870,"ACTUAL",2
"32","2019-04-23T10:00:00-00:00","2019-04-23T11:00:00-00:00",0,"2019-04-23",4,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,860,"ACTUAL",2
"33","2019-04-23T12:00:00-00:00","2019-04-23T13:00:00-00:00",0,"2019-04-23",6,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,941,"ACTUAL",2
"34","2019-04-24T01:00:00-00:00","2019-04-24T02:00:00-00:00",0,"2019-04-23",19,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1584,"ACTUAL",2
"35","2019-04-23T08:00:00-00:00","2019-04-23T09:00:00-00:00",0,"2019-04-23",2,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,901,"ACTUAL",2
"36","2019-04-23T15:00:00-00:00","2019-04-23T16:00:00-00:00",0,"2019-04-23",9,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1118,"ACTUAL",2
