Hour,pr_e,pr_fre_u,pr_fre_d
0,31.98316098,1.0,1.0
1,37.65605994,1.0,1.0
2,31.986037300000003,1.0,1.0
3,30.63394917,1.0,1.0
4,31.9776728,1.0,1.0
5,30.67395434,1.0,1.0
6,30.644945630000002,1.0,1.0
7,31.98316098,1.0,1.0
8,31.986037300000003,1.0,1.0
9,31.98316098,1.0,1.0
10,31.98316098,1.0,1.0
11,31.989313090000003,1.0,1.0
12,31.96222668,1.0,1.0
13,32.78068235,1.0,1.0
14,37.65605994,1.0,1.0
15,38.01778309,1.0,1.0
16,59.278557109999994,1.0,1.0
17,66.62627647,1.0,1.0
18,66.62627647,1.0,1.0
19,59.74893521,1.0,1.0
20,46.50404209,1.0,1.0
21,35.342703379999996,1.0,1.0
22,32.82002163,1.0,1.0
23,31.98316098,1.0,1.0
24,31.98316098,1.0,1.0
