gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
0.0,2.0,0.0
0.0,2.0,460600.0
0.0,4.0,0.0
0.0,4.0,460600.0
0.0,6.0,0.0
0.0,6.0,460600.0
0.0,8.0,0.0
0.0,8.0,460600.0
0.0,10.0,0.0
0.0,10.0,460600.0
0.0,12.0,0.0
0.0,12.0,460600.0
0.0,14.0,0.0
0.0,14.0,460600.0
0.0,16.0,0.0
0.0,16.0,460600.0
0.0,18.0,0.0
0.0,18.0,460600.0
0.0,20.0,0.0
0.0,20.0,460600.0
0.0,22.0,0.0
0.0,22.0,457800.0
0.0,24.0,0.0
0.0,24.0,457800.0
0.0,2.0,0.0
0.0,2.0,460600.0
0.0,4.0,0.0
0.0,4.0,460600.0
0.0,6.0,0.0
0.0,6.0,460600.0
0.0,8.0,0.0
0.0,8.0,460600.0
0.0,10.0,0.0
0.0,10.0,460600.0
0.0,12.0,0.0
0.0,12.0,460600.0
0.0,14.0,0.0
0.0,14.0,460600.0
0.0,16.0,0.0
0.0,16.0,460600.0
0.0,18.0,0.0
0.0,18.0,460600.0
0.0,20.0,0.0
0.0,20.0,460600.0
0.0,22.0,0.0
0.0,22.0,457800.0
0.0,24.0,0.0
0.0,24.0,457800.0
0.0,2.0,0.0
0.0,2.0,460600.0
0.0,4.0,0.0
0.0,4.0,460600.0
0.0,6.0,0.0
0.0,6.0,460600.0
0.0,8.0,0.0
0.0,8.0,460600.0
0.0,10.0,0.0
0.0,10.0,460600.0
0.0,12.0,0.0
0.0,12.0,460600.0
0.0,14.0,0.0
0.0,14.0,460600.0
0.0,16.0,0.0
0.0,16.0,460600.0
0.0,18.0,0.0
0.0,18.0,460600.0
0.0,20.0,0.0
0.0,20.0,460600.0
0.0,22.0,0.0
0.0,22.0,457800.0
0.0,24.0,0.0
0.0,24.0,457800.0
