"","OPR_DT","OPR_HR","OPR_INTERVAL","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","TRADING_HUB","RENEWABLE_TYPE","LABEL","XML_DATA_ITEM","MARKET_RUN_ID_POS","RENEW_POS","MW","MARKET_RUN_ID","GROUP"
"1","2019-10-16",2,0,"2019-10-16T08:00:00-00:00","2019-10-16T09:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"2","2019-10-16",3,0,"2019-10-16T09:00:00-00:00","2019-10-16T10:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"3","2019-10-16",4,0,"2019-10-16T10:00:00-00:00","2019-10-16T11:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"4","2019-10-16",5,0,"2019-10-16T11:00:00-00:00","2019-10-16T12:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"5","2019-10-16",6,0,"2019-10-16T12:00:00-00:00","2019-10-16T13:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"6","2019-10-16",7,0,"2019-10-16T13:00:00-00:00","2019-10-16T14:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",1
"7","2019-10-16",8,0,"2019-10-16T14:00:00-00:00","2019-10-16T15:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,88.77,"DAM",1
"8","2019-10-16",9,0,"2019-10-16T15:00:00-00:00","2019-10-16T16:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,577.04,"DAM",1
"9","2019-10-16",10,0,"2019-10-16T16:00:00-00:00","2019-10-16T17:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,849.02,"DAM",1
"10","2019-10-16",11,0,"2019-10-16T17:00:00-00:00","2019-10-16T18:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,897.71,"DAM",1
"11","2019-10-16",12,0,"2019-10-16T18:00:00-00:00","2019-10-16T19:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,892.01,"DAM",1
"12","2019-10-16",13,0,"2019-10-16T19:00:00-00:00","2019-10-16T20:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,845.17,"DAM",1
"13","2019-10-16",14,0,"2019-10-16T20:00:00-00:00","2019-10-16T21:00:00-00:00","NP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,855.49,"DAM",1
